Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960.0,2990.0,0.0,0.0,0.0,,132,0.0,0.0,0.0,423.4
1961.0,2934.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,423.4
1962.0,2923.0,0.0,0.0,0.0,,0,0.0,0.0,243.57,226.2
1963.0,2942.0,0.0,0.0,0.0,4482.0,0,0.0,0.0,1412.7060000000001,394.4
1964.0,2885.0,0.0,0.0,0.0,4817.0,0,0.0,0.0,2144.475,371.2
1965.0,4439.0,0.0,0.0,0.0,5028.0,0,0.0,0.0,3289.2540000000004,562.6
1966.0,5221.0,0.0,0.0,0.0,5527.0,0,0.0,0.0,3347.4990000000003,765.6
1967.0,5008.0,0.0,0.0,0.0,5783.0,22,0.0,0.0,1329.045,16959.2
1968.0,5704.0,0.0,0.0,0.0,6593.0,0,0.0,0.0,932.9789999999999,19546.0
1969.0,6074.0,0.0,0.0,0.0,7563.0,0,0.0,0.0,1203.024,14111.4
1970.0,6154.0,0.0,0.0,0.0,8569.0,2914,0.0,0.0,1165.9589999999998,10347.2
1971.0,6643.0,0.0,0.0,0.0,9649.0,25304,0.0,0.0,919.212,7168.8
1972.0,6784.0,0.0,0.0,0.0,11292.0,65227,0.0,0.0,468.07800000000003,5759.4
1973.0,7197.0,0.0,0.0,0.0,13330.0,71697,0.0,0.0,132.0,4663.2
1974.0,7400.0,0.0,0.0,0.0,14611.0,142379,0.0,0.0,238.56,4292.0
1975.0,7254.0,0.0,0.0,0.0,15284.0,154258,0.0,0.0,218.81599999999997,3683.0
1976.0,7579.0,0.0,0.0,0.0,16970.0,230085,0.0,0.0,275.624,3010.2
1977.0,6597.0,0.0,0.0,0.0,19609.0,244195,0.0,0.0,253.44,2476.6
1978.0,7021.0,0.0,0.0,0.0,23279.0,199922,0.0,0.0,304.5042,2424.4
1979.0,7256.0,0.0,0.0,0.0,27495.0,251481,0.0,0.0,258.2138,2737.6
1980.0,9836.0,0.0,0.0,0.0,30764.0,240794,0.0,0.0,224.486,2354.8
1981.0,6803.0,0.0,0.0,0.0,34269.0,256339,0.0,0.0,196.91099999999997,2070.6
1982.0,7015.0,0.0,0.0,0.0,35794.0,273011,0.0,0.0,104.346,1943.0
1983.0,14482.0,0.0,0.0,0.0,39774.0,251813,0.0,0.0,137.94,1374.6
1984.0,15679.0,0.0,0.0,0.0,46135.0,254418,0.0,0.0,47.115,1247.0
1985.0,13987.0,1130.0,0.0,0.0,50709.0,212530,0.0,0.0,89.25,1015.0
1986.0,14461.0,9976.0,0.0,0.0,55881.0,255169,0.0,0.0,65.457,933.8
1987.0,10135.0,13458.0,0.0,0.0,60047.0,251261,0.0,0.0,62.16,754.0
1988.0,7786.0,22940.0,0.0,0.0,64945.0,273761,0.0,0.0,57.903999999999996,661.2
1989.0,7877.0,7850.0,0.0,0.0,67895.0,263538,0.0,0.0,1414.4,794.6
1990.0,7418.0,20598.0,0.0,0.0,70632.0,249018,0.0,0.0,2193.0,701.8
1991.0,6736.0,25096.0,0.0,0.0,73358.0,290251,0.0,0.0,1255.52045,643.8
1992.0,6621.0,25609.0,0.0,0.0,82682.0,275297,0.0,0.0,794.95358,545.2
1993.0,6697.0,22049.0,0.0,0.0,89300.0,267526,0.0,0.0,614.0871099999999,423.4
1994.0,7365.0,23171.0,0.0,0.0,100374.0,288012,0.0,0.0,772.0729299999999,377.0
1995.0,8288.0,26985.0,0.0,0.0,109906.0,262514,0.0,0.0,577.2402,411.8
1996.0,9214.0,28840.0,0.0,0.0,119530.0,228629,0.0,0.0,468.44887,487.2
1997.0,12049.0,29314.0,0.0,0.0,129279.0,256500,0.0,0.0,461.49608,475.6
1998.0,10970.0,30301.0,0.0,0.0,143768.0,247729,0.0,0.0,464.29675999999995,452.4
1999.0,9759.0,30416.0,0.0,0.0,156145.0,258147,0.0,0.0,480.81464000000005,382.8
2000.0,8354.0,30381.0,0.0,0.0,165912.0,286772,0.0,0.0,373.11323,342.2
2001.0,7624.0,28724.0,0.0,0.0,172288.0,293303,0.0,0.0,311.16246,342.2
2002.0,7427.0,30862.0,0.0,0.0,179605.0,280064,0.0,0.0,306.10038,365.4
2003.0,7075.0,28581.0,0.0,0.0,192685.0,262250,0.0,0.0,447.86834000000005,272.6
2004.0,6973.0,28113.0,4.0,0.0,204136.0,278231,0.0,0.0,337.48363,301.6
2005.0,6410.0,25807.0,14.0,0.0,227358.0,263426,0.0,0.0,238.75378999999998,290.0
2006.0,6793.0,24012.0,13.0,0.0,248459.0,179356,0.0,0.0,623.35362,319.0
2007.0,6598.0,26782.0,9.0,0.0,262045.0,173933,3879.76824,658.83627,669.58419,249.4
2008.0,7286.0,29250.0,15.0,0.0,256718.0,173998,7563.0806,1289.8929,537.121,301.6
2009.0,6427.0,30662.0,14.0,30.0,242509.0,160705,7623.6127400000005,1308.3499,726.952,266.8
2010.0,6622.0,31200.0,16.0,135.0,245668.0,0,,,,
2011.0,9174.0,31278.0,81.0,256.0,254192.0,0,,,,
2012.0,6717.0,31934.0,951.0,532.0,264693.0,0,,,,
2013.0,5915.0,31431.0,2092.0,450.0,270642.0,0,,,,
2014.0,6118.0,32321.0,3118.0,468.0,280166.0,0,,,,
