Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price_x,Inflation Adjusted Price_x,Nominal Price_y,Inflation Adjusted Price_y
1960.0,970.0,0.0,0.0,0.0,,78754.0,0.0,0.0,110972.67772,275320.2,15.99,-3.69,2.91,23.72,2.91,23.72
1961.0,836.0,0.0,0.0,0.0,,80305.0,0.0,0.0,111735.199,271202.2,19.61,6.58,2.85,22.96,2.85,22.96
1962.0,1016.0,0.0,0.0,0.0,,73776.0,0.0,0.0,105209.33933,246366.6,15.18,-2.86,2.85,22.69,2.85,22.69
1963.0,1034.0,0.0,0.0,0.0,5925.0,80589.0,0.0,0.0,109217.2256,222041.4,15.31,-19.7,2.91,22.9,2.91,22.9
1964.0,1056.0,0.0,0.0,0.0,6228.0,95086.0,0.0,0.0,118110.20758,201579.0,15.48,-14.92,3.0,23.3,3.0,23.3
1965.0,938.0,0.0,0.0,0.0,6631.0,104584.0,0.0,0.0,130580.22032,194363.8,23.03,24.54,3.01,23.0,3.01,23.0
1966.0,998.0,0.0,0.0,0.0,7275.0,114016.0,0.0,0.0,141207.98989,194253.6,14.44,-4.68,3.1,23.01,3.1,23.01
1967.0,928.0,0.0,0.0,0.0,7666.0,118754.0,0.0,0.0,120739.76947,196649.0,18.76,0.57,3.12,22.53,3.12,22.53
1968.0,944.0,0.0,0.0,0.0,8540.0,121352.0,0.0,0.0,125458.51569,185234.6,15.4,-0.83,3.18,21.99,3.18,21.99
1969.0,993.0,0.0,0.0,0.0,9480.0,120741.0,0.0,0.0,122699.80047,164105.2,21.93,19.05,3.32,21.81,3.32,21.81
1970.0,1236.0,0.0,0.0,0.0,10431.0,131549.0,0.0,0.0,109319.51504,143393.4,17.22,8.35,3.39,21.04,3.39,21.04
1971.0,1585.0,0.0,0.0,0.0,11998.0,116527.0,0.0,0.0,113865.74163,158867.8,16.93,2.92,3.6,21.42,3.6,21.42
1972.0,1243.0,0.0,0.0,0.0,13784.0,120566.0,0.0,0.0,122027.92973,185687.0,17.38,-5.02,3.6,20.74,3.6,20.74
1973.0,1281.0,0.0,0.0,0.0,16120.0,132174.0,0.0,0.0,141643.43332,212222.0,18.55,11.83,4.75,25.56,4.75,25.56
