Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,424.0,0.0,0.0,0.0,,0
1961.0,367.0,0.0,0.0,0.0,,0
1962.0,295.0,0.0,0.0,0.0,,0
1963.0,278.0,0.0,0.0,0.0,9877.0,0
1964.0,269.0,0.0,0.0,0.0,10551.0,0
1965.0,187.0,0.0,0.0,0.0,11456.0,0
1966.0,253.0,0.0,0.0,0.0,12812.0,0
1967.0,394.0,524.0,0.0,0.0,13595.0,0
1968.0,358.0,3004.0,0.0,0.0,14303.0,0
1969.0,425.0,3639.0,0.0,0.0,15627.0,0
1970.0,329.0,3604.0,0.0,0.0,16347.0,0
1971.0,391.0,7767.0,0.0,0.0,17129.0,0
1972.0,538.0,7777.0,0.0,0.0,18799.0,0
1973.0,447.0,4303.0,0.0,0.0,20808.0,0
1974.0,428.0,7970.0,0.0,0.0,22502.0,0
1975.0,493.0,8135.0,0.0,0.0,23976.0,0
1976.0,383.0,12330.0,0.0,0.0,26233.0,0
1977.0,431.0,13174.0,0.0,0.0,29598.0,0
1978.0,359.0,13863.0,0.0,0.0,33231.0,0
1979.0,461.0,12706.0,0.0,0.0,36855.0,0
1980.0,256.0,11835.0,0.0,0.0,40770.0,0
1981.0,260.0,12673.0,0.0,0.0,45642.0,0
1982.0,371.0,13625.0,0.0,0.0,50196.0,0
1983.0,378.0,11588.0,0.0,0.0,55528.0,0
1984.0,377.0,14292.0,0.0,0.0,63618.0,0
1985.0,264.0,12721.0,0.0,0.0,69231.0,0
1986.0,373.0,18667.0,0.0,0.0,75305.0,0
1987.0,343.0,20540.0,0.0,0.0,82984.0,0
1988.0,330.0,22251.0,0.0,0.0,90707.0,0
1989.0,442.0,19563.0,0.0,0.0,95831.0,0
1990.0,571.0,19776.0,0.0,0.0,100169.0,0
1991.0,433.0,12243.0,0.0,0.0,101475.0,0
1992.0,424.0,16771.0,0.0,0.0,105759.0,0
1993.0,415.0,21802.0,0.0,0.0,107680.0,0
1994.0,481.0,20160.0,0.0,0.0,113115.0,0
1995.0,364.0,18749.0,0.0,0.0,123212.0,0
1996.0,626.0,6225.0,0.0,0.0,129111.0,0
1997.0,447.0,-125.0,0.0,0.0,140280.0,0
1998.0,448.0,3243.0,0.0,0.0,147911.0,0
1999.0,422.0,12675.0,0.0,0.0,154708.0,0
2000.0,526.0,16365.0,0.0,0.0,169004.0,0
2001.0,286.0,15428.0,0.0,0.0,175290.0,0
2002.0,335.0,14918.0,0.0,0.0,178017.0,0
2003.0,564.0,16078.0,0.0,0.0,183533.0,0
2004.0,463.0,16539.0,0.0,0.0,200407.0,0
2005.0,478.0,15562.0,0.0,0.0,210170.0,0
2006.0,544.0,16589.0,0.0,0.0,221420.0,0
2007.0,363.0,16386.0,0.0,0.0,236640.0,0
2008.0,556.0,15433.0,0.0,0.0,238211.0,0
2009.0,510.0,16657.0,0.0,0.0,233562.0,0
2010.0,391.0,16750.0,0.0,0.0,234528.0,0
2011.0,567.0,15928.0,0.0,0.0,234233.0,0
2012.0,312.0,17078.0,0.0,0.0,239462.0,0
2013.0,402.0,17080.0,0.0,0.0,240750.0,0
2014.0,434.0,15841.0,12.0,0.0,245160.0,0
