Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,2306.0,0.0,0.0,0.0,,100
1961.0,2289.0,0.0,0.0,0.0,,100
1962.0,2561.0,0.0,0.0,0.0,,0
1963.0,2935.0,0.0,0.0,0.0,10318.0,0
1964.0,4310.0,0.0,0.0,0.0,11253.0,0
1965.0,3234.0,0.0,0.0,0.0,12519.0,0
1966.0,3341.0,0.0,0.0,0.0,13808.0,0
1967.0,3704.0,0.0,0.0,0.0,14711.0,0
1968.0,3148.0,0.0,0.0,0.0,16424.0,0
1969.0,3116.0,0.0,0.0,0.0,18082.0,0
1970.0,2519.0,0.0,0.0,0.0,19365.0,0
1971.0,3302.0,0.0,0.0,0.0,21570.0,0
1972.0,3386.0,0.0,0.0,0.0,24610.0,0
1973.0,4232.0,0.0,0.0,0.0,28226.0,0
1974.0,3654.0,44.0,0.0,0.0,30378.0,0
1975.0,4334.0,3093.0,0.0,0.0,31995.0,1858
1976.0,4432.0,4134.0,0.0,0.0,36425.0,4670
1977.0,4032.0,3713.0,0.0,0.0,40785.0,5675
1978.0,3755.0,4277.0,0.0,0.0,46154.0,2837
1979.0,4431.0,5095.0,0.0,0.0,51550.0,652
1980.0,4423.0,8436.0,0.0,0.0,56229.0,0
1981.0,2328.0,7235.0,0.0,0.0,63751.0,0
1982.0,3652.0,6606.0,0.0,0.0,68451.0,0
1983.0,4120.0,7774.0,0.0,0.0,76738.0,0
1984.0,4137.0,5472.0,0.0,0.0,88466.0,0
1985.0,2826.0,10130.0,0.0,0.0,98223.0,0
1986.0,2151.0,7238.0,0.0,0.0,108089.0,0
1987.0,3175.0,15259.0,0.0,0.0,117033.0,0
1988.0,2065.0,15149.0,0.0,0.0,126565.0,0
1989.0,3894.0,24961.0,0.0,0.0,133794.0,0
1990.0,4589.0,24797.0,0.0,0.0,140646.0,0
1991.0,4232.0,26016.0,0.0,0.0,147760.0,0
1992.0,4915.0,27996.0,0.0,0.0,160062.0,0
1993.0,4457.0,27233.0,0.0,0.0,171659.0,0
1994.0,4331.0,28927.0,0.0,0.0,187996.0,0
1995.0,4197.0,30661.0,0.0,0.0,203397.0,0
1996.0,4679.0,29925.0,0.0,0.0,219989.0,0
1997.0,4280.0,30414.0,0.0,0.0,235200.0,0
1998.0,5235.0,31380.0,0.0,0.0,263950.0,0
1999.0,2751.0,31478.0,0.0,0.0,287725.0,0
2000.0,2481.0,32473.0,0.0,0.0,306528.0,0
2001.0,2596.0,33682.0,0.0,0.0,318226.0,0
2002.0,2716.0,31108.0,0.0,0.0,325863.0,0
2003.0,4140.0,33257.0,0.0,0.0,340627.0,0
2004.0,3692.0,33748.0,0.0,0.0,364062.0,0
2005.0,4032.0,31534.0,0.0,0.0,388342.0,0
2006.0,2569.0,32006.0,0.0,0.0,404206.0,0
2007.0,2236.0,32545.0,0.0,0.0,417700.0,0
2008.0,2145.0,31691.0,0.0,0.0,411866.0,0
2009.0,3260.0,31683.0,0.0,0.0,404575.0,0
2010.0,3322.0,33512.0,0.0,0.0,412485.0,0
2011.0,2705.0,32306.0,0.0,0.0,424126.0,0
2012.0,2236.0,33942.0,1.0,0.0,439058.0,0
2013.0,3714.0,32903.0,11.0,0.0,452696.0,0
2014.0,3064.0,32570.0,116.0,0.0,473562.0,0
