Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960.0,27.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1961.0,24.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1962.0,20.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1963.0,23.0,0.0,0.0,0.0,2367.0,0,0.0,0.0,0.0,0.0
1964.0,115.0,0.0,0.0,0.0,2571.0,0,0.0,0.0,0.0,0.0
1965.0,105.0,0.0,0.0,0.0,2849.0,0,0.0,0.0,0.0,0.0
1966.0,112.0,0.0,0.0,0.0,3110.0,0,0.0,0.0,0.0,0.0
1967.0,108.0,0.0,0.0,0.0,3307.0,0,0.0,0.0,0.0,0.0
1968.0,94.0,0.0,0.0,0.0,3722.0,0,0.0,0.0,0.0,0.0
1969.0,100.0,0.0,0.0,0.0,4262.0,0,0.0,0.0,0.0,0.0
1970.0,108.0,0.0,0.0,0.0,4813.0,0,0.0,0.0,0.0,0.0
1971.0,89.0,0.0,0.0,0.0,5188.0,0,0.0,0.0,0.0,0.0
1972.0,91.0,0.0,0.0,0.0,5624.0,0,0.0,0.0,0.0,0.0
1973.0,95.0,0.0,0.0,0.0,6353.0,0,0.0,0.0,0.0,0.0
1974.0,92.0,0.0,0.0,0.0,7143.0,0,0.0,0.0,0.0,0.0
1975.0,89.0,0.0,0.0,0.0,8173.0,0,0.0,0.0,0.0,0.0
1976.0,93.0,0.0,0.0,0.0,8526.0,0,0.0,0.0,0.0,0.0
1977.0,86.0,0.0,0.0,0.0,9441.0,0,0.0,0.0,0.0,0.0
1978.0,84.0,0.0,0.0,0.0,10508.0,0,0.0,0.0,0.0,0.0
1979.0,90.0,0.0,0.0,0.0,11869.0,0,0.0,0.0,0.0,0.0
1980.0,86.0,0.0,0.0,0.0,13380.0,0,0.0,0.0,0.0,0.0
1981.0,80.0,0.0,0.0,0.0,14640.0,0,0.0,0.0,0.0,0.0
1982.0,90.0,0.0,0.0,0.0,15740.0,0,0.0,0.0,0.0,0.0
1983.0,84.0,0.0,0.0,0.0,17260.0,0,0.0,0.0,0.0,0.0
1984.0,82.0,0.0,0.0,0.0,19132.0,0,0.0,0.0,0.0,0.0
1985.0,86.0,0.0,0.0,0.0,20722.0,0,0.0,0.0,0.0,0.0
1986.0,78.0,0.0,0.0,0.0,22437.0,0,0.0,0.0,0.0,0.0
1987.0,82.0,0.0,0.0,0.0,24273.0,0,0.0,0.0,0.0,0.0
1988.0,81.0,0.0,0.0,0.0,26799.0,0,0.0,0.0,0.0,0.0
1989.0,56.0,0.0,0.0,33.0,29427.0,0,0.0,0.0,0.0,0.0
1990.0,80.0,0.0,0.0,29.0,32534.0,0,0.0,0.0,0.0,0.0
1991.0,71.0,0.0,0.0,36.0,34357.0,0,0.0,0.0,0.0,0.0
1992.0,61.0,0.0,0.0,23.0,36129.0,0,0.0,0.0,0.0,0.0
1993.0,56.0,0.0,0.0,22.0,36732.0,0,0.0,0.0,0.0,0.0
1994.0,139.0,0.0,0.0,20.0,37395.0,0,0.0,0.0,0.0,0.0
1995.0,98.0,0.0,0.0,20.0,37763.0,0,0.0,0.0,0.0,0.0
1996.0,104.0,0.0,0.0,23.0,38125.0,0,0.0,0.0,0.0,0.0
1997.0,115.0,0.0,0.0,16.0,39064.0,0,0.0,0.0,0.0,0.0
1998.0,121.0,0.0,0.0,19.0,37585.0,0,0.0,0.0,0.0,0.0
1999.0,115.0,0.0,0.0,16.0,39224.0,0,0.0,0.0,0.0,0.0
2000.0,103.0,0.0,0.0,17.0,41472.0,0,0.0,0.0,0.0,0.0
2001.0,101.0,0.0,0.0,2.0,43089.0,0,0.0,0.0,0.0,0.0
2002.0,95.0,0.0,0.0,2.0,45581.0,0,0.0,0.0,0.0,0.0
2003.0,91.0,0.0,0.0,2.0,49136.0,0,0.0,0.0,0.0,0.0
2004.0,94.0,0.0,0.0,7.0,53755.0,0,0.0,0.0,0.0,0.0
2005.0,96.0,0.0,0.0,7.0,58573.0,0,0.0,0.0,0.0,0.0
2006.0,120.0,0.0,0.0,80.0,62054.0,0,0.0,0.0,0.0,0.0
2007.0,92.0,0.0,0.0,238.0,65210.0,0,0.0,0.0,0.0,0.0
2008.0,84.0,0.0,0.0,240.0,66692.0,0,0.0,0.0,0.0,0.0
2009.0,113.0,0.0,1.0,251.0,65382.0,0,0.0,0.0,0.0,0.0
2010.0,70.0,0.0,2.0,261.0,68225.0,0,,,,
2011.0,93.0,0.0,4.0,341.0,70017.0,0,,,,
2012.0,115.0,0.0,5.0,378.0,72532.0,0,,,,
2013.0,78.0,0.0,19.0,503.0,74653.0,0,,,,
2014.0,94.0,0.0,39.0,579.0,76588.0,0,,,,
