Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price_x,Inflation Adjusted Price_x,Nominal Price_y,Inflation Adjusted Price_y
1960.0,881.0,0.0,0.0,0.0,,22058.0,0.0,0.0,0.0,0.0,33.81,6.56,2.91,23.72,2.91,23.72
1961.0,897.0,0.0,0.0,0.0,,19146.0,0.0,0.0,0.0,0.0,37.26,13.43,2.85,22.96,2.85,22.96
1962.0,931.0,0.0,0.0,0.0,,23338.0,0.0,0.0,0.0,0.0,31.05,3.41,2.85,22.69,2.85,22.69
1963.0,758.0,0.0,0.0,0.0,7921.0,25053.0,0.0,0.0,0.0,0.0,27.14,-10.8,2.91,22.9,2.91,22.9
1964.0,690.0,0.0,0.0,0.0,8350.0,20096.0,0.0,0.0,0.0,0.0,31.25,-4.2,3.0,23.3,3.0,23.3
1965.0,928.0,0.0,0.0,0.0,9196.0,21541.0,0.0,0.0,0.0,0.0,40.25,15.55,3.01,23.0,3.01,23.0
1966.0,867.0,0.0,0.0,0.0,10202.0,21170.0,0.0,0.0,0.0,0.0,25.32,-7.5,3.1,23.01,3.1,23.01
1967.0,806.0,0.0,0.0,0.0,10617.0,18237.0,0.0,0.0,0.0,0.0,30.13,-2.24,3.12,22.53,3.12,22.53
1968.0,951.0,0.0,0.0,0.0,11273.0,18092.0,0.0,0.0,0.0,0.0,32.8,4.51,3.18,21.99,3.18,21.99
1969.0,866.0,0.0,0.0,0.0,12332.0,18650.0,0.0,0.0,0.0,0.0,34.78,9.91,3.32,21.81,3.32,21.81
1970.0,935.0,0.0,0.0,0.0,12957.0,20385.0,0.0,0.0,0.0,0.0,33.52,4.38,3.39,21.04,3.39,21.04
1971.0,913.0,0.0,0.0,0.0,13666.0,19393.0,0.0,0.0,0.0,0.0,29.51,-1.89,3.6,21.42,3.6,21.42
1972.0,993.0,0.0,0.0,0.0,15311.0,17576.0,0.0,0.0,0.0,0.0,37.05,13.41,3.6,20.74,3.6,20.74
1973.0,906.0,0.0,0.0,0.0,18502.0,11297.0,0.0,0.0,0.0,0.0,42.92,18.71,4.75,25.56,4.75,25.56
1974.0,891.0,1330.0,0.0,0.0,19341.0,11311.0,0.0,0.0,0.0,0.0,31.98,2.53,9.35,45.6,9.35,45.6
1975.0,879.0,2291.0,0.0,0.0,21993.0,11824.0,0.0,0.0,0.0,0.0,30.07,-2.72,12.21,54.61,12.21,54.61
1976.0,645.0,2479.0,0.0,0.0,24436.0,12358.0,0.0,0.0,0.0,0.0,23.6,-14.78,13.1,55.46,13.1,55.46
1977.0,780.0,2888.0,0.0,0.0,27011.0,9915.0,0.0,0.0,0.0,0.0,36.59,-3.44,14.4,57.2,14.4,57.2
1978.0,930.0,1209.0,0.0,0.0,30763.0,8823.0,0.0,0.0,0.0,0.0,34.14,7.94,14.95,55.24,14.95,55.24
1979.0,898.0,2889.0,0.0,0.0,33496.0,11718.0,0.0,0.0,0.0,0.0,34.35,10.17,25.1,82.51,25.1,82.51
1980.0,946.0,2563.0,0.0,0.0,34582.0,10283.0,0.0,0.0,0.0,0.0,29.09,-2.17,37.42,109.51,37.42,109.51
1981.0,982.0,2204.0,0.0,0.0,38272.0,14717.0,5358.91858,833.3333299999997,0.0,0.0,31.99,4.29,35.75,94.83,35.75,94.83
1982.0,918.0,2269.0,0.0,0.0,37289.0,11514.0,6484.36887,1011.90476,0.0,0.0,41.44,21.01,31.83,79.5,31.83,79.5
1983.0,920.0,2309.0,0.0,0.0,37481.0,7861.0,7980.80078,1250.0,0.0,0.0,36.52,7.65,29.08,70.34,29.08,70.34
1984.0,918.0,2700.0,0.0,0.0,41264.0,10334.0,10225.02421,1607.14286,0.0,0.0,36.92,10.48,28.75,66.67,28.75,66.67
1985.0,989.0,1927.0,0.0,0.0,42431.0,11820.0,10188.80623,1607.14286,0.0,0.0,31.15,0.76,26.92,60.27,26.92,60.27
1986.0,953.0,2993.0,0.0,0.0,43226.0,9649.0,18800.80482,2976.19048,0.0,0.0,39.9,13.98,14.44,31.72,14.44,31.72
1987.0,971.0,2523.0,0.0,0.0,45283.0,9330.0,26227.26901,4166.666670000001,0.0,0.0,32.85,0.94,17.75,37.62,17.75,37.62
1988.0,699.0,3163.0,0.0,0.0,49088.0,7042.0,26133.09563,4166.666670000001,0.0,0.0,21.48,-22.83,14.87,30.33,14.87,30.33
1989.0,672.0,3139.0,0.0,0.0,52907.0,8796.0,31619.40594,5059.5238100000015,0.0,0.0,24.69,-17.16,18.33,35.6,18.33,35.6
