Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960.0,20.0,0.0,0.0,0.0,,18923,0.0,0.0,680278.99665,658027.4
1961.0,16.0,0.0,0.0,0.0,,14149,0.0,0.0,696012.88123,650997.8
1962.0,15.0,0.0,0.0,0.0,,19498,0.0,0.0,744554.91225,650040.8
1963.0,17.0,0.0,0.0,0.0,6135.0,24911,0.0,0.0,785939.32863,632820.6
1964.0,13.0,0.0,0.0,0.0,6418.0,26914,0.0,0.0,823791.58282,616261.6
1965.0,13.0,0.0,0.0,0.0,6831.0,27915,0.0,0.0,850741.74442,607451.4
1966.0,13.0,0.0,0.0,0.0,7401.0,23909,0.0,0.0,908770.4296299999,601680.4
1967.0,9.0,0.0,0.0,0.0,7760.0,24207,0.0,0.0,935016.0889399999,575360.0
1968.0,10.0,0.0,0.0,0.0,8487.0,27020,0.0,0.0,895967.14592,548129.0
1969.0,6.0,0.0,0.0,0.0,9166.0,27979,0.0,0.0,947009.7847799999,514552.8
1970.0,7.0,0.0,0.0,0.0,9755.0,34671,0.0,0.0,965023.3830299999,492147.4
1971.0,7.0,0.0,0.0,0.0,10824.0,24527,0.0,0.0,956253.0696299999,455485.6
1972.0,5.0,0.0,0.0,0.0,12127.0,26147,0.0,0.0,962523.9202200001,427715.2
1973.0,3.0,0.0,0.0,0.0,14000.0,23001,0.0,0.0,961097.89011,384116.6
1974.0,7.0,0.0,0.0,0.0,15063.0,14282,0.0,0.0,951323.1687700001,357807.8
1975.0,5.0,0.0,0.0,0.0,16855.0,9703,0.0,0.0,903936.48284,342814.8
1976.0,5.0,0.0,0.0,0.0,18953.0,12089,0.0,0.0,885082.88339,340541.2
1977.0,3.0,0.0,0.0,0.0,20539.0,18024,0.0,0.0,839270.42865,333476.8
1978.0,5.0,0.0,0.0,0.0,22824.0,25496,0.0,0.0,911533.08897,328198.8
1979.0,4.0,0.0,0.0,0.0,26300.0,16370,0.0,0.0,863727.9547299999,330571.0
1980.0,8.0,0.0,0.0,0.0,28298.0,17101,0.0,0.0,802897.92767,348875.8
1981.0,8.0,0.0,0.0,0.0,31978.0,29198,398.23034,61.92641999999999,701505.36623,381698.0
1982.0,7.0,0.0,0.0,0.0,33491.0,29671,1328.40319,207.30121,482230.88456000003,409045.0
1983.0,6.0,0.0,0.0,0.0,35257.0,28732,2495.65468,390.88413,495528.66933,415245.2
1984.0,7.0,0.0,0.0,0.0,38442.0,29151,2979.74492,468.3486,525539.93559,439228.2
1985.0,9.0,3856.0,0.0,0.0,40658.0,20978,3194.87255,503.94683,575837.82999,437360.6
1986.0,8.0,6959.0,0.0,0.0,41795.0,29479,3376.77978,534.54838,517601.24143,388797.2
1987.0,9.0,6471.0,0.0,0.0,44164.0,40093,3691.3028799999997,586.42891,541539.5435,347333.0
1988.0,12.0,6650.0,0.0,0.0,46698.0,15705,3702.68696,590.35725,637435.2466600001,341185.0
1989.0,10.0,9709.0,0.0,0.0,48814.0,18431,3489.48789,558.36429,649685.11719,321813.0
1990.0,13.0,7874.0,0.0,0.0,51874.0,17410,2922.76532,469.30611,625206.8909,321482.4
1991.0,11.0,5859.0,0.0,0.0,53981.0,10055,3417.078960000001,550.66221,705045.33118,330182.4
1992.0,10.0,8491.0,0.0,0.0,56902.0,8855,3040.8252899999998,491.81893,721567.45563,310955.4
1993.0,5.0,7900.0,0.0,0.0,58953.0,8234,4379.4403299999985,710.80272,752384.4597100001,287825.0
1994.0,10.0,8529.0,0.0,0.0,63304.0,6945,4727.34341,770.08619,789962.0088,271045.6
1995.0,11.0,10062.0,0.0,0.0,65282.0,6861,4450.22706,727.4988599999998,802497.79722,253848.6
1996.0,11.0,8205.0,0.0,0.0,69616.0,5592,1790.0387699999999,293.66081,788050.2938100001,242376.2
1997.0,14.0,8430.0,0.0,0.0,74147.0,8090,3101.45133,510.60766,748588.22658,231043.0
1998.0,11.0,10411.0,0.0,0.0,79118.0,7457,3583.78538,592.1185,672278.97288,206137.8
1999.0,12.0,9157.0,0.0,0.0,82643.0,8957,3260.6277,539.51211,627473.6203600001,168466.8
2000.0,15.0,9061.0,0.0,0.0,86869.0,4316,3841.7109100000002,636.48532,598228.68953,199885.4
2001.0,26.0,10347.0,0.0,40.0,89331.0,3697,4134.529979999998,685.88981,546821.98165,196863.6
2002.0,13.0,9042.0,0.0,467.0,91952.0,4351,8876.92083,1474.53725,524576.4816,189781.8
2003.0,12.0,8890.0,0.0,366.0,96368.0,3307,13955.73725,2328.40877,481735.04179,196875.2
2004.0,13.0,10133.0,0.0,359.0,99242.0,1665,15786.318959999999,2645.50646,459051.86033,196376.4
2005.0,11.0,8821.0,0.0,426.0,104884.0,3954,18674.54074,3142.94143,434104.11358999996,196173.4
2006.0,10.0,9350.0,0.0,992.0,113362.0,9591,24633.747330000002,4164.42623,426435.72744,206775.8
2007.0,11.0,10369.0,0.0,1153.0,122498.0,9313,32566.53947,5530.2317600000015,416214.02359,211642.0
2008.0,11.0,8497.0,0.0,1759.0,128108.0,5139,61994.342529999994,10573.21298,429218.66131,229575.6
2009.0,13.0,8769.0,0.0,2863.0,123986.0,4296,56992.28069,9780.9067,401479.10564,228891.2
2010.0,13.0,9556.0,0.0,3405.0,128542.0,0,,,,
2011.0,15.0,7319.0,0.0,3720.0,136884.0,0,,,,
2012.0,10.0,8285.0,0.0,5195.0,140964.0,0,,,,
2013.0,15.0,7168.0,0.0,9433.0,143459.0,0,,,,
2014.0,16.0,8558.0,0.0,10845.0,147493.0,0,,,,
