Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,2633.0,0.0,0.0,0.0,,1586448
1961.0,2545.0,0.0,0.0,0.0,,1493944
1962.0,2775.0,0.0,0.0,0.0,,1638551
1963.0,2328.0,0.0,0.0,0.0,8355.0,1832508
1964.0,2415.0,0.0,0.0,0.0,8774.0,1963791
1965.0,2464.0,0.0,0.0,0.0,9518.0,2037284
1966.0,2565.0,0.0,0.0,0.0,10378.0,2212065
1967.0,3697.0,0.0,0.0,0.0,11041.0,2380969
1968.0,2927.0,0.0,0.0,0.0,12212.0,2400532
1969.0,2678.0,0.0,0.0,0.0,13206.0,2597580
1970.0,3174.0,0.0,0.0,0.0,13943.0,3017564
1971.0,3536.0,0.0,0.0,0.0,15568.0,2869274
1972.0,3770.0,0.0,0.0,0.0,16915.0,2910525
1973.0,3823.0,0.0,0.0,0.0,18903.0,3057324
1974.0,3398.0,0.0,0.0,0.0,21173.0,3248064
1975.0,3463.0,0.0,0.0,0.0,22810.0,3440044
1976.0,3159.0,0.0,0.0,0.0,26040.0,3479208
1977.0,3313.0,0.0,0.0,0.0,29176.0,3513197
1978.0,3182.0,0.0,0.0,0.0,32683.0,3266590
1979.0,3940.0,0.0,0.0,0.0,35838.0,3639650
1980.0,2940.0,0.0,0.0,0.0,37017.0,3703361
1981.0,2598.0,0.0,0.0,0.0,41068.0,3960803
1982.0,3343.0,0.0,0.0,0.0,42184.0,3760411
1983.0,3244.0,0.0,0.0,0.0,44092.0,3285634
1984.0,3514.0,0.0,0.0,0.0,49344.0,3997384
1985.0,2941.0,0.0,0.0,0.0,51893.0,3831439
1986.0,2734.0,0.0,0.0,0.0,53199.0,3877067
1987.0,2948.0,0.0,0.0,0.0,56282.0,4152114
1988.0,2423.0,0.0,0.0,0.0,61851.0,4011841
1989.0,4404.0,0.0,0.0,0.0,65525.0,4220065
1990.0,3160.0,0.0,0.0,0.0,68412.0,4414362
1991.0,3658.0,0.0,0.0,0.0,71679.0,4054870
1992.0,3767.0,0.0,0.0,0.0,77531.0,4112739
1993.0,3155.0,0.0,0.0,0.0,81618.0,3962426
1994.0,4014.0,0.0,0.0,0.0,87646.0,4107496
1995.0,3423.0,0.0,0.0,0.0,91915.0,3910027
1996.0,3497.0,0.0,0.0,0.0,96617.0,3860466
1997.0,3380.0,0.0,0.0,0.0,103621.0,3940216
1998.0,3116.0,0.0,0.0,0.0,109619.0,3832681
1999.0,2557.0,0.0,0.0,0.0,115418.0,3502886
2000.0,2325.0,0.0,0.0,0.0,114592.0,3270194
2001.0,3856.0,0.0,0.0,0.0,118302.0,3326939
2002.0,4025.0,0.0,0.0,0.0,123039.0,3098985
2003.0,3948.0,0.0,0.0,0.0,128081.0,2809836
2004.0,3780.0,0.0,0.0,0.0,135666.0,2845495
2005.0,2961.0,0.0,0.0,0.0,143875.0,2973897
2006.0,2592.0,0.0,0.0,0.0,152133.0,3000879
2007.0,1669.0,0.0,0.0,0.0,155441.0,2872879
2008.0,1917.0,0.0,0.0,0.0,158847.0,2927900
2009.0,3318.0,0.0,0.0,0.0,156319.0,2616138
2010.0,2580.0,0.0,0.0,0.0,165974.0,0
2011.0,2969.0,0.0,0.0,0.0,171835.0,0
2012.0,2362.0,0.0,0.0,0.0,177046.0,0
2013.0,3275.0,0.0,0.0,0.0,181440.0,0
2014.0,3144.0,0.0,0.0,0.0,186344.0,0
