Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,982.0,34.0,0.0,0.0,,0
1961.0,814.0,854.0,0.0,0.0,,0
1962.0,791.0,689.0,0.0,0.0,,0
1963.0,708.0,941.0,0.0,0.0,17415.0,0
1964.0,670.0,1189.0,0.0,0.0,18625.0,0
1965.0,664.0,966.0,0.0,0.0,19997.0,0
1966.0,803.0,1082.0,0.0,0.0,21837.0,0
1967.0,799.0,1273.0,0.0,0.0,23275.0,0
1968.0,783.0,1218.0,0.0,0.0,25226.0,0
1969.0,881.0,1143.0,0.0,0.0,27476.0,0
1970.0,753.0,1209.0,0.0,0.0,29052.0,0
1971.0,706.0,1435.0,0.0,0.0,30989.0,0
1972.0,859.0,1499.0,0.0,0.0,33807.0,0
1973.0,560.0,5120.0,0.0,0.0,36912.0,0
1974.0,428.0,2885.0,0.0,0.0,39313.0,0
1975.0,417.0,3781.0,0.0,0.0,41910.0,0
1976.0,490.0,3664.0,0.0,0.0,45498.0,0
1977.0,422.0,3675.0,0.0,0.0,50719.0,0
1978.0,214.0,5570.0,0.0,0.0,56883.0,0
1979.0,438.0,6077.0,0.0,0.0,62965.0,0
1980.0,158.0,3232.0,0.0,0.0,69684.0,0
1981.0,430.0,4331.0,0.0,0.0,77833.0,0
1982.0,252.0,4173.0,0.0,0.0,83777.0,0
1983.0,278.0,6063.0,0.0,0.0,93054.0,0
1984.0,297.0,1035.0,0.0,0.0,106425.0,0
1985.0,262.0,6133.0,0.0,0.0,116613.0,0
1986.0,392.0,2420.0,0.0,0.0,127155.0,0
1987.0,310.0,1136.0,0.0,0.0,138900.0,0
1988.0,212.0,1117.0,0.0,0.0,151625.0,0
1989.0,404.0,3015.0,0.0,0.0,158200.0,0
1990.0,1249.0,5070.0,0.0,0.0,159505.0,0
1991.0,1115.0,4417.0,0.0,0.0,160728.0,0
1992.0,1011.0,4742.0,0.0,0.0,167435.0,0
1993.0,882.0,4339.0,0.0,0.0,173527.0,0
1994.0,938.0,3859.0,0.0,0.0,185710.0,0
1995.0,869.0,4486.0,0.0,0.0,196409.0,0
1996.0,1189.0,5324.0,0.0,0.0,210630.0,0
1997.0,1032.0,4310.0,0.0,0.0,226880.0,0
1998.0,1030.0,5698.0,0.0,0.0,249090.0,0
1999.0,975.0,4518.0,0.0,0.0,264740.0,0
2000.0,1065.0,5512.0,0.0,0.0,289688.0,0
2001.0,703.0,5144.0,0.0,0.0,297197.0,0
2002.0,875.0,5769.0,0.0,0.0,304012.0,0
2003.0,1075.0,4978.0,0.0,0.0,315400.0,0
2004.0,998.0,5939.0,0.0,0.0,330072.0,0
2005.0,1042.0,5475.0,0.0,0.0,345059.0,0
2006.0,1513.0,5830.0,0.0,0.0,360557.0,0
2007.0,797.0,5120.0,0.0,0.0,378864.0,0
2008.0,1156.0,5869.0,0.0,4.0,385445.0,0
2009.0,1201.0,5396.0,0.0,6.0,385698.0,0
2010.0,996.0,5918.0,1.0,22.0,402652.0,0
2011.0,1149.0,5085.0,4.0,61.0,417283.0,0
2012.0,912.0,5860.0,29.0,90.0,434098.0,0
2013.0,992.0,4331.0,106.0,205.0,441042.0,0
2014.0,902.0,5769.0,301.0,225.0,455979.0,0
