Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price_x,Inflation Adjusted Price_x,Nominal Price_y,Inflation Adjusted Price_y
1960.0,1358.0,0.0,0.0,0.0,,18933.0,0.0,0.0,4154.43,0.0,43.7,3.95,2.91,23.72,2.91,23.72
1961.0,1139.0,0.0,0.0,0.0,,19161.0,0.0,0.0,3656.716,0.0,43.05,0.69,2.85,22.96,2.85,22.96
1962.0,1148.0,0.0,0.0,0.0,,20781.0,0.0,0.0,2526.384,0.0,39.25,-4.84,2.85,22.69,2.85,22.69
1963.0,971.0,0.0,0.0,0.0,10261.0,29412.0,0.0,0.0,1668.9260000000006,0.0,36.27,-9.4,2.91,22.9,2.91,22.9
1964.0,1112.0,0.0,0.0,0.0,11171.0,28754.0,0.0,0.0,1411.382,0.0,36.9,-10.98,3.0,23.3,3.0,23.3
1965.0,1141.0,0.0,0.0,0.0,12263.0,30627.0,0.0,0.0,416.976,0.0,31.3,-17.63,3.01,23.0,3.01,23.0
1966.0,1322.0,0.0,0.0,0.0,13563.0,30931.0,0.0,0.0,711.312,0.0,37.53,-6.01,3.1,23.01,3.1,23.01
1967.0,1923.0,0.0,0.0,0.0,14319.0,33032.0,0.0,0.0,634.6619999999998,0.0,41.48,1.94,3.12,22.53,3.12,22.53
1968.0,1609.0,0.0,0.0,0.0,15852.0,36626.0,0.0,0.0,883.008,0.0,36.48,-9.51,3.18,21.99,3.18,21.99
1969.0,1359.0,0.0,0.0,0.0,17385.0,34626.0,0.0,0.0,999.516,0.0,40.81,-1.61,3.32,21.81,3.32,21.81
1970.0,1907.0,0.0,0.0,0.0,18720.0,40878.0,0.0,0.0,830.8860000000003,0.0,40.59,-3.28,3.39,21.04,3.39,21.04
1971.0,1773.0,0.0,0.0,0.0,20501.0,41612.0,0.0,0.0,218.708,0.0,49.83,9.99,3.6,21.42,3.6,21.42
1972.0,2282.0,0.0,0.0,0.0,22644.0,41511.0,0.0,0.0,249.368,0.0,55.91,18.63,3.6,20.74,3.6,20.74
1973.0,2165.0,0.0,0.0,0.0,25112.0,40493.0,0.0,0.0,303.96,0.0,44.22,-1.48,4.75,25.56,4.75,25.56
1974.0,1969.0,0.0,0.0,0.0,27381.0,51320.0,0.0,0.0,135.66,0.0,40.14,-3.41,9.35,45.6,9.35,45.6
1975.0,2311.0,4386.0,0.0,0.0,29597.0,59091.0,0.0,0.0,94.209,0.0,53.76,15.71,12.21,54.61,12.21,54.61
1976.0,2088.0,6420.0,0.0,0.0,32612.0,65523.0,0.0,0.0,76.05,0.0,40.5,-1.3,13.1,55.46,13.1,55.46
1977.0,2018.0,10881.0,0.0,0.0,35555.0,70348.0,0.0,0.0,83.31200000000003,0.0,39.64,-6.62,14.4,57.2,14.4,57.2
1978.0,1735.0,9896.0,0.0,0.0,39526.0,69756.0,0.0,0.0,90.6488,0.0,44.72,2.18,14.95,55.24,14.95,55.24
1979.0,2191.0,9674.0,0.0,0.0,43628.0,62269.0,0.0,0.0,29.2544,0.0,56.93,20.79,25.1,82.51,25.1,82.51
1980.0,1270.0,10947.0,0.0,0.0,47522.0,89499.0,0.0,0.0,69.36,0.0,36.71,-8.07,37.42,109.51,37.42,109.51
1981.0,1426.0,11523.0,0.0,0.0,53117.0,107311.0,0.0,0.0,56.784,0.0,36.54,-6.23,35.75,94.83,35.75,94.83
1982.0,1341.0,10345.0,0.0,0.0,56339.0,93819.0,0.0,0.0,36.648,0.0,39.69,-3.15,31.83,79.5,31.83,79.5
1983.0,1765.0,11676.0,0.0,0.0,62205.0,79120.0,0.0,0.0,31.651,0.0,51.36,9.11,29.08,70.34,29.08,70.34
1984.0,2022.0,11651.0,0.0,0.0,69920.0,100584.0,0.0,0.0,61.56,0.0,45.49,2.82,28.75,66.67,28.75,66.67
1985.0,1524.0,9926.0,0.0,0.0,76878.0,74667.0,0.0,0.0,40.326,0.0,40.7,-4.32,26.92,60.27,26.92,60.27
1986.0,1876.0,12828.0,0.0,0.0,83744.0,97658.0,0.0,0.0,20.72,0.0,36.56,-12.72,14.44,31.72,14.44,31.72
1987.0,1612.0,10070.0,0.0,0.0,91380.0,99058.0,0.0,0.0,45.496,0.0,38.51,-7.16,17.75,37.62,17.75,37.62
1988.0,1328.0,11734.0,0.0,0.0,101280.0,82061.0,0.0,0.0,29.928,0.0,37.86,-8.46,14.87,30.33,14.87,30.33
1989.0,1778.0,2719.0,0.0,0.0,107444.0,84479.0,0.0,0.0,35.088,0.0,51.17,12.88,18.33,35.6,18.33,35.6
1990.0,2299.0,1251.0,0.0,0.0,112835.0,88004.0,0.0,0.0,22.616,0.0,46.27,1.96,23.19,42.62,23.19,42.62
1991.0,1407.0,9036.0,0.0,0.0,115428.0,95422.0,0.0,0.0,30.2472,0.0,35.78,-17.92,20.2,35.73,20.2,35.73
1992.0,1825.0,10664.0,0.0,0.0,119535.0,83956.0,0.0,0.0,33.68653,0.0,42.31,2.55,19.25,33.04,19.25,33.04
1993.0,1658.0,12301.0,0.0,0.0,125515.0,84741.0,0.0,0.0,28.4571,0.0,45.72,1.1,16.75,27.94,16.75,27.94
1994.0,2010.0,11235.0,0.0,0.0,133311.0,92886.0,0.0,0.0,26.70496,0.0,45.84,1.54,15.66,25.44,15.66,25.44
1995.0,1442.0,12938.0,0.0,0.0,139070.0,94134.0,0.0,0.0,22.84902,0.0,39.52,-4.86,16.75,26.48,16.75,26.48
1996.0,2457.0,12093.0,0.0,0.0,145023.0,103073.0,0.0,0.0,138.42005,0.0,58.96,23.34,20.46,31.4,20.46,31.4
1997.0,1588.0,13213.0,0.0,0.0,154783.0,103616.0,0.0,0.0,121.75143,0.0,38.75,-5.71,18.64,27.98,18.64,27.98
1998.0,1740.0,13331.0,0.0,0.0,170417.0,100207.0,0.0,0.0,65.41085,0.0,42.46,-6.48,11.91,17.6,11.91,17.6
1999.0,1424.0,13312.0,0.0,0.0,180996.0,94391.0,0.0,0.0,18.28526,0.0,44.28,-2.44,16.56,23.89,16.56,23.89
2000.0,1733.0,13827.0,0.0,0.0,192565.0,110587.0,0.0,0.0,35.19322000000001,0.0,43.95,3.33,27.39,38.29,27.39,38.29
2001.0,1184.0,13656.0,0.0,0.0,205459.0,111688.0,0.0,0.0,33.530359999999995,0.0,36.01,-10.21,23.0,31.3,23.0,31.3
2002.0,1661.0,12128.0,0.0,0.0,217004.0,125681.0,0.0,0.0,23.25991,0.0,41.44,-7.09,22.81,30.52,22.81,30.52
