Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,1060.0,0.0,0.0,0.0,,33073,0.0,0.0,127553.6,24950.12954
1961.0,1407.0,0.0,0.0,0.0,,35706,0.0,0.0,137181.6,25740.26606
1962.0,1293.0,0.0,0.0,0.0,,35798,0.0,0.0,146049.8,32213.75089
1963.0,1483.0,0.0,0.0,0.0,1624.0,31423,0.0,0.0,145174.0,42001.45504
1964.0,1878.0,0.0,0.0,0.0,1591.0,34540,0.0,0.0,149239.8,44437.17574
1965.0,2497.0,0.0,0.0,0.0,1825.0,35785,0.0,0.0,152830.0,45656.3167
1966.0,1929.0,0.0,0.0,0.0,1846.0,46407,0.0,0.0,157330.8,59657.22859
1967.0,2771.0,0.0,0.0,0.0,1874.0,54437,0.0,0.0,146827.0,51816.05201
1968.0,2499.0,0.0,0.0,0.0,1958.0,58772,0.0,0.0,145232.0,52534.47437
1969.0,2939.0,0.0,0.0,0.0,2178.0,61615,0.0,0.0,131677.4,43011.85653
1970.0,2815.0,0.0,0.0,0.0,2294.0,73862,0.0,0.0,127588.4,44679.21108
1971.0,3235.0,0.0,0.0,0.0,2632.0,79573,0.0,0.0,125587.4,42321.54877
1972.0,3095.0,0.0,0.0,0.0,3078.0,86869,0.0,0.0,119619.2,40103.94125
1973.0,2382.0,0.0,0.0,0.0,4404.0,93710,0.0,0.0,117363.0,34344.3429
1974.0,2729.0,0.0,0.0,0.0,4506.0,100561,0.0,0.0,114242.6,36439.19778
1975.0,3345.0,0.0,0.0,0.0,4869.0,110868,0.0,0.0,118621.6,29520.70548
1976.0,3272.0,0.0,0.0,0.0,5052.0,144839,0.0,0.0,126005.0,36268.62199
1977.0,1994.0,0.0,0.0,0.0,5243.0,157574,0.0,0.0,134983.4,33612.30092
1978.0,3034.0,0.0,0.0,0.0,6417.0,184269,0.0,0.0,143909.6,35009.18578
1979.0,2736.0,0.0,0.0,0.0,7218.0,199468,0.0,0.0,179301.2,24651.19223
1980.0,2513.0,0.0,0.0,0.0,7645.0,223718,0.0,0.0,233954.6,52590.56893
1981.0,2250.0,0.0,0.0,0.0,9954.0,237960,320.08702999999997,49.77482,263459.2,54946.36529
1982.0,2553.0,0.0,0.0,0.0,9954.0,235315,1067.73539,166.62323999999995,274171.8,66845.27994
1983.0,2377.0,0.0,0.0,0.0,10045.0,251137,2005.9413100000002,314.18234,294002.0,86298.15004
1984.0,2362.0,0.0,0.0,0.0,10642.0,286336,2395.04025,376.44623,305381.6,88974.74904
1985.0,2173.0,0.0,0.0,0.0,10655.0,351048,2567.9541600000002,405.05915,294970.6,93363.16487
1986.0,2326.0,0.0,0.0,0.0,9773.0,335150,2714.16639,429.65587,264642.4,70746.75031
1987.0,1982.0,0.0,0.0,0.0,10306.0,328640,2966.97175,471.35606,239835.8,80510.27574
1988.0,1884.0,0.0,0.0,0.0,9748.0,389431,2976.12197,474.51356,228189.4,74724.80923
1989.0,1893.0,0.0,0.0,0.0,10729.0,386816,2804.75819,448.79846,213115.2,65663.16807
1990.0,1711.0,0.0,0.0,0.0,11509.0,387651,2349.24156,377.21585,212958.6,66701.32036
1991.0,1757.0,0.0,0.0,0.0,11691.0,386837,2746.5578100000002,442.60774,208167.8,68469.07094
1992.0,1699.0,0.0,0.0,0.0,12896.0,413528,2444.13505,395.31106,190785.2,69023.02067
1993.0,1415.0,0.0,0.0,0.0,13049.0,417343,2790.6542600000002,452.93565,179307.0,74852.2529
1994.0,1856.0,0.0,0.0,0.0,14304.0,422529,2992.11379,487.41657,159935.0,71970.27484
1995.0,2457.0,0.0,0.0,0.0,14842.0,395208,2895.76038,473.38312,170143.0,62154.2053
1996.0,3151.0,0.0,0.0,0.0,16491.0,393533,1196.57155,196.30087,187438.6,61463.17527
1997.0,3320.0,0.0,0.0,0.0,16501.0,389549,2128.28734,350.39074,207825.6,64294.94639
1998.0,2296.0,0.0,0.0,0.0,16761.0,392567,2522.9304899999997,416.84243,206259.6,65184.01485
1999.0,2609.0,0.0,0.0,0.0,16958.0,407886,2353.34695,389.39103,190715.6,65927.18383
2000.0,2123.0,0.0,0.0,0.0,17973.0,408363,2840.9774199999997,470.68623,189770.2,65273.53517
2001.0,1332.0,0.0,0.0,0.0,18971.0,398429,3130.9562,519.40389,183807.8,68300.36183
2002.0,1593.0,0.0,0.0,0.0,20263.0,401823,4286.8283299999985,712.08116,179759.4,69107.23276
2003.0,1724.0,0.0,0.0,59.0,22194.0,402708,5057.4933,843.80435,170554.8,67695.74269
2004.0,1546.0,0.0,0.0,215.0,23262.0,392965,4618.70468,774.01281,180693.2,68335.85921
2005.0,1342.0,0.0,0.0,220.0,24622.0,392566,4421.18102,744.08861,206828.0,67792.13743
2006.0,1521.0,0.0,0.0,369.0,26414.0,397480,4440.7024299999985,750.7171900000002,231483.8,71290.6363
2007.0,1305.0,0.0,0.0,621.0,28887.0,385055,19169.582169999998,3255.25014,261336.4,76899.62168
2008.0,1253.0,0.0,0.0,1693.0,32495.0,387402,21497.48365,3666.42284,364100.8,68751.55816
2009.0,1475.0,0.0,0.0,2998.0,32489.0,391800,36108.20216,6196.82091,462468.8,80355.86412
