Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB
1960.0,959.0,0.0,0.0,0.0,,0
1961.0,928.0,0.0,0.0,0.0,,0
1962.0,975.0,0.0,0.0,0.0,,0
1963.0,1014.0,75.0,0.0,0.0,4262.0,0
1964.0,1003.0,91.0,0.0,0.0,4400.0,0
1965.0,1116.0,-5.0,0.0,0.0,4749.0,0
1966.0,1162.0,0.0,0.0,0.0,5205.0,0
1967.0,1163.0,0.0,0.0,0.0,5486.0,0
1968.0,1254.0,0.0,0.0,0.0,5823.0,0
1969.0,1238.0,0.0,0.0,0.0,6537.0,0
1970.0,1371.0,0.0,0.0,0.0,6907.0,0
1971.0,1359.0,0.0,0.0,0.0,7660.0,0
1972.0,1372.0,0.0,0.0,0.0,8487.0,0
1973.0,1371.0,599.0,0.0,0.0,9961.0,0
1974.0,1294.0,3996.0,0.0,0.0,10440.0,0
1975.0,1213.0,5916.0,0.0,0.0,11875.0,0
1976.0,1276.0,5824.0,0.0,0.0,13042.0,0
1977.0,1221.0,7452.0,0.0,0.0,13874.0,0
1978.0,1187.0,7725.0,0.0,0.0,15851.0,0
1979.0,1246.0,8658.0,0.0,0.0,17423.0,0
1980.0,1336.0,5783.0,0.0,0.0,18294.0,0
1981.0,1197.0,5988.0,0.0,0.0,20863.0,0
1982.0,1212.0,8753.0,0.0,0.0,21265.0,0
1983.0,1346.0,6082.0,0.0,0.0,21820.0,0
1984.0,1345.0,5780.0,0.0,0.0,24631.0,0
1985.0,1441.0,4134.0,0.0,0.0,25717.0,0
1986.0,1678.0,7658.0,0.0,0.0,26045.0,0
1987.0,1567.0,8589.0,0.0,0.0,26760.0,0
1988.0,1350.0,6828.0,0.0,0.0,29262.0,0
1989.0,1158.0,8077.0,0.0,0.0,31332.0,0
1990.0,1140.0,7511.0,0.0,0.0,33734.0,0
1991.0,1045.0,8048.0,0.0,0.0,35613.0,0
1992.0,1075.0,8748.0,0.0,0.0,38214.0,0
1993.0,1002.0,6805.0,0.0,0.0,39353.0,0
1994.0,1312.0,6345.0,0.0,0.0,43504.0,0
1995.0,1426.0,7485.0,0.0,0.0,45111.0,0
1996.0,1602.0,9457.0,0.0,0.0,49007.0,0
1997.0,1672.0,9269.0,0.0,0.0,50308.0,0
1998.0,1683.0,8259.0,0.0,0.0,52399.0,0
1999.0,1719.0,10091.0,0.0,0.0,54223.0,0
2000.0,1501.0,8629.0,0.0,0.0,57235.0,0
2001.0,1124.0,8726.0,0.0,3.0,59846.0,0
2002.0,1097.0,10122.0,0.0,8.0,61940.0,0
2003.0,980.0,7997.0,0.0,38.0,66931.0,0
2004.0,913.0,10241.0,0.0,38.0,70644.0,0
2005.0,871.0,8802.0,0.0,97.0,73455.0,0
2006.0,893.0,9003.0,0.0,261.0,77547.0,0
2007.0,347.0,11042.0,0.0,217.0,81926.0,0
2008.0,346.0,9479.0,0.0,214.0,84873.0,0
2009.0,434.0,9435.0,0.0,383.0,86961.0,0
2010.0,1314.0,11054.0,0.0,422.0,92231.0,0
2011.0,1617.0,6933.0,0.0,1051.0,99935.0,0
2012.0,1257.0,5802.0,0.0,1284.0,101973.0,0
2013.0,1124.0,6865.0,0.0,1802.0,106735.0,0
2014.0,1158.0,10102.0,0.0,2737.0,111297.0,0
