Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,45.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1961.0,19.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1962.0,23.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1963.0,16.0,0.0,0.0,0.0,23388.0,0,0.0,0.0,0.0,0.0
1964.0,19.0,0.0,0.0,0.0,24774.0,0,0.0,0.0,0.0,0.0
1965.0,-31.0,0.0,0.0,0.0,26655.0,0,0.0,0.0,0.0,0.0
1966.0,-131.0,0.0,0.0,0.0,29027.0,0,0.0,0.0,0.0,0.0
1967.0,-202.0,0.0,0.0,0.0,30976.0,0,0.0,0.0,0.0,0.0
1968.0,-342.0,0.0,0.0,0.0,33657.0,0,0.0,0.0,0.0,0.0
1969.0,-379.0,107.0,0.0,0.0,35852.0,0,0.0,0.0,0.0,0.0
1970.0,-403.0,3454.0,0.0,0.0,38492.0,0,0.0,0.0,0.0,0.0
1971.0,-309.0,3825.0,0.0,0.0,41307.0,0,0.0,0.0,0.0,0.0
1972.0,-217.0,4356.0,0.0,0.0,45388.0,0,0.0,0.0,0.0,0.0
1973.0,-333.0,3585.0,0.0,0.0,49301.0,0,0.0,0.0,0.0,0.0
1974.0,-282.0,3673.0,0.0,0.0,52987.0,0,0.0,0.0,0.0,0.0
1975.0,-272.0,3146.0,0.0,0.0,56052.0,0,0.0,0.0,0.0,0.0
1976.0,-245.0,3855.0,0.0,0.0,60496.0,0,0.0,0.0,0.0,0.0
1977.0,-167.0,6959.0,0.0,0.0,65839.0,0,0.0,0.0,0.0,0.0
1978.0,-173.0,8169.0,0.0,0.0,72918.0,0,0.0,0.0,0.0,0.0
1979.0,-283.0,6611.0,0.0,0.0,81051.0,0,0.0,0.0,0.0,0.0
1980.0,-282.0,7627.0,0.0,0.0,88334.0,0,0.0,0.0,0.0,0.0
1981.0,-231.0,11675.0,0.0,0.0,98755.0,0,0.0,0.0,0.0,0.0
1982.0,-222.0,14039.0,0.0,0.0,105759.0,0,0.0,0.0,0.0,0.0
1983.0,-228.0,6328.0,0.0,0.0,117962.0,0,0.0,0.0,0.0,0.0
1984.0,-246.0,5610.0,0.0,0.0,133572.0,0,0.0,0.0,0.0,0.0
1985.0,-244.0,17770.0,0.0,0.0,145929.0,0,0.0,0.0,0.0,0.0
1986.0,-286.0,14770.0,0.0,0.0,158836.0,0,0.0,0.0,0.0,0.0
1987.0,-309.0,22697.0,0.0,0.0,174629.0,0,0.0,0.0,0.0,0.0
1988.0,-219.0,23890.0,0.0,0.0,194709.0,0,0.0,0.0,0.0,0.0
1989.0,-244.0,23032.0,0.0,0.0,205075.0,0,0.0,0.0,0.0,0.0
1990.0,31.0,23770.0,0.0,0.0,214357.0,0,0.0,0.0,0.0,0.0
1991.0,22.0,24807.0,0.0,0.0,221915.0,0,0.0,0.0,0.0,0.0
1992.0,22.0,21595.0,0.0,0.0,230774.0,0,0.0,0.0,0.0,0.0
1993.0,19.0,24932.0,0.0,0.0,240389.0,0,0.0,0.0,0.0,0.0
1994.0,15.0,22129.0,0.0,0.0,251573.0,0,0.0,0.0,0.0,0.0
1995.0,11.0,16806.0,0.0,0.0,263468.0,0,0.0,0.0,0.0,0.0
1996.0,19.0,11028.0,0.0,0.0,278191.0,0,0.0,0.0,0.0,0.0
1997.0,18.0,13908.0,0.0,0.0,292671.0,0,0.0,0.0,0.0,0.0
1998.0,21.0,27132.0,0.0,0.0,321334.0,0,0.0,0.0,0.0,0.0
1999.0,17.0,28971.0,0.0,0.0,337918.0,0,0.0,0.0,0.0,0.0
2000.0,14.0,28578.0,0.0,0.0,363295.0,0,0.0,0.0,0.0,0.0
2001.0,18.0,30469.0,0.0,0.0,376678.0,0,0.0,0.0,0.0,0.0
2002.0,12.0,30866.0,0.0,0.0,391565.0,0,0.0,0.0,0.0,0.0
2003.0,39.0,29709.0,0.0,0.0,408941.0,0,0.0,0.0,0.0,0.0
2004.0,38.0,27082.0,0.0,0.0,424935.0,0,0.0,0.0,0.0,0.0
2005.0,31.0,31392.0,0.0,0.0,443148.0,0,0.0,0.0,0.0,0.0
2006.0,35.0,32568.0,0.0,16.0,465027.0,0,0.0,0.0,0.0,0.0
2007.0,21.0,32010.0,0.0,20.0,480912.0,0,0.0,0.0,0.0,0.0
2008.0,26.0,32195.0,3.0,21.0,491855.0,0,0.0,0.0,0.0,0.0
2009.0,32.0,34328.0,11.0,21.0,482143.0,0,0.0,0.0,0.0,0.0
