,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960.0,69.0,0.0,0.0,0.0,2660.600000000006,5518.0,0.0,0.0,927135.58842,622804.0,14.61,3.83,2.91,23.72
1,1961.0,52.0,0.0,0.0,0.0,2787.000000000029,7707.0,0.0,0.0,916382.6315,652807.4,13.7,2.75,2.85,22.96
2,1962.0,64.0,0.0,0.0,0.0,2913.4000000000233,12664.0,0.0,0.0,933731.7256,634102.4,12.64,-2.66,2.85,22.69
3,1963.0,44.0,0.0,0.0,0.0,3030.0,36383.0,0.0,0.0,938100.91217,637657.8,11.3,-11.24,2.91,22.9
4,1964.0,9.0,0.0,0.0,0.0,3156.0,55539.0,0.0,0.0,1019732.17143,660405.4,10.16,-11.39,3.0,23.3
5,1965.0,43.0,0.0,0.0,0.0,3311.0,60084.0,0.0,0.0,1087602.52381,691162.8,15.3,3.17,3.01,23.0
6,1966.0,68.0,0.0,0.0,0.0,3452.0,51536.0,0.0,0.0,1158241.7684,720093.2,12.21,-4.89,3.1,23.01
7,1967.0,35.0,0.0,0.0,0.0,3514.0,64780.0,0.0,0.0,1238818.15632,731635.2,13.05,-8.48,3.12,22.53
8,1968.0,43.0,0.0,0.0,0.0,3806.0,64144.0,0.0,0.0,1351003.54925,745590.0,12.69,1.55,3.18,21.99
9,1969.0,64.0,0.0,0.0,0.0,4091.0,83636.0,0.0,0.0,1320774.34844,749516.6,16.65,6.47,3.32,21.81
10,1970.0,66.0,0.0,0.0,0.0,4431.0,137697.0,0.0,0.0,1321757.27036,743467.2,10.38,-8.21,3.39,21.04
11,1971.0,27.0,0.0,0.0,0.0,4822.0,152924.0,0.0,0.0,1361162.49115,686789.6,13.42,-5.52,3.6,21.42
12,1972.0,20.0,0.0,0.0,0.0,5406.0,154290.0,0.0,0.0,1414839.52633,641045.0,16.73,2.46,3.6,20.74
13,1973.0,65.0,0.0,0.0,0.0,6189.0,164714.0,0.0,0.0,1397971.68149,585718.8,12.02,8.84,4.75,25.56
14,1974.0,73.0,0.0,0.0,0.0,7116.0,168496.0,0.0,0.0,1418349.27136,572431.0,14.84,-1.49,9.35,45.6
15,1975.0,63.0,0.0,0.0,0.0,8098.0,157540.0,0.0,0.0,1390465.98865,551365.4,12.94,5.5,12.21,54.61
16,1976.0,76.0,0.0,0.0,0.0,9254.0,175430.0,0.0,0.0,1405146.4288,534354.0,11.38,-9.19,13.1,55.46
17,1977.0,28.0,0.0,0.0,0.0,10102.0,200268.0,0.0,0.0,1388741.23488,505893.4,13.22,-5.28,14.4,57.2
18,1978.0,30.0,0.0,0.0,0.0,11536.0,232635.0,0.0,0.0,1359415.1095200002,483517.0,16.48,5.36,14.95,55.24
19,1979.0,68.0,0.0,0.0,0.0,13141.0,292444.0,0.0,0.0,1377768.60409,461964.2,14.45,12.67,25.1,82.51
20,1980.0,94.0,0.0,0.0,0.0,15731.0,345071.0,0.0,0.0,1329290.0013700002,436879.2,12.19,-3.61,37.42,109.51
21,1981.0,88.0,0.0,0.0,0.0,18511.0,355601.0,220.99353,34.36538,1306554.68423,415094.4,15.22,-4.52,35.75,94.83
22,1982.0,79.0,0.0,0.0,0.0,19242.0,375419.0,737.18268,115.03952,1143883.9153,411939.2,15.01,1.09,31.83,79.5
23,1983.0,89.0,0.0,0.0,0.0,19882.0,381363.0,1384.93601,216.91682999999998,1027892.10531,435980.2,14.32,8.48,29.08,70.34
24,1984.0,94.0,0.0,0.0,0.0,21397.0,397916.0,1653.57653,259.90488,1104683.53626,460148.8,17.62,10.89,28.75,66.67
25,1985.0,128.0,0.0,0.0,0.0,22534.0,420410.0,1772.95924,279.65972999999997,1063631.68216,455474.0,17.46,21.54,26.92,60.27
