Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960.0,1967.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,156.6,8.8,-11.09,2.91,23.72
1961.0,1748.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,893.2,8.17,-9.12,2.85,22.96
1962.0,1972.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,817.8,8.89,-2.45,2.85,22.69
1963.0,1804.0,0.0,0.0,0.0,1819.0,0.0,0.0,0.0,0.0,684.4,11.93,-0.65,2.91,22.9
1964.0,1617.0,0.0,0.0,0.0,1933.0,0.0,0.0,0.0,0.0,1479.0,9.78,-1.69,3.0,23.3
1965.0,1595.0,0.0,0.0,0.0,2032.0,0.0,0.0,0.0,0.0,1212.2,12.22,12.35,3.01,23.0
1966.0,1801.0,0.0,0.0,0.0,2131.0,0.0,0.0,0.0,0.0,1780.6,6.77,-13.01,3.1,23.01
1967.0,1732.0,0.0,0.0,0.0,2248.0,0.0,0.0,0.0,0.0,1618.2,11.17,9.67,3.12,22.53
1968.0,1750.0,0.0,0.0,0.0,2549.0,0.0,0.0,0.0,0.0,1571.8,9.92,-7.74,3.18,21.99
1969.0,1701.0,0.0,0.0,0.0,2947.0,0.0,0.0,0.0,0.0,1293.4,12.53,15.12,3.32,21.81
1970.0,1646.0,0.0,0.0,0.0,3262.0,0.0,0.0,0.0,0.0,864.2,10.85,1.05,3.39,21.04
1971.0,1678.0,0.0,0.0,0.0,3611.0,0.0,0.0,0.0,0.0,655.4,11.07,7.45,3.6,21.42
1972.0,1563.0,0.0,0.0,0.0,3990.0,0.0,0.0,0.0,0.0,580.0,8.77,-9.05,3.6,20.74
1973.0,1669.0,0.0,0.0,0.0,4530.0,0.0,0.0,0.0,0.0,556.8,10.73,8.27,4.75,25.56
1974.0,1600.0,0.0,0.0,0.0,4966.0,0.0,0.0,0.0,0.0,748.2,7.97,-10.24,9.35,45.6
1975.0,1690.0,0.0,0.0,0.0,5529.0,0.0,0.0,0.0,0.0,667.0,10.62,8.14,12.21,54.61
1976.0,1555.0,0.0,0.0,0.0,6263.0,0.0,0.0,0.0,0.0,829.4,9.9,-4.96,13.1,55.46
1977.0,1617.0,0.0,0.0,0.0,7416.0,0.0,0.0,0.0,0.0,3833.8,9.89,-13.32,14.4,57.2
1978.0,1666.0,0.0,0.0,0.0,8932.0,0.0,0.0,0.0,0.0,6704.8,13.83,17.65,14.95,55.24
1979.0,1716.0,0.0,0.0,0.0,10295.0,0.0,0.0,0.0,0.0,7163.0,9.82,2.52,25.1,82.51
1980.0,2372.0,0.0,0.0,0.0,11633.0,0.0,0.0,0.0,0.0,5104.0,12.98,14.25,37.42,109.51
1981.0,1729.0,0.0,0.0,0.0,13203.0,0.0,0.0,0.0,0.0,4060.0,10.71,-11.51,35.75,94.83
1982.0,1420.0,0.0,0.0,0.0,13885.0,0.0,0.0,0.0,0.0,3555.4,13.64,16.04,31.83,79.5
1983.0,4094.0,0.0,0.0,0.0,15060.0,0.0,0.0,0.0,0.0,4698.0,17.8,34.86,29.08,70.34
1984.0,5613.0,0.0,0.0,0.0,16514.0,0.0,0.0,0.0,0.0,11060.6,12.12,17.8,28.75,66.67
1985.0,4344.0,0.0,0.0,0.0,17945.0,0.0,0.0,0.0,0.0,17626.2,8.74,-3.39,26.92,60.27
1986.0,4584.0,0.0,0.0,0.0,19731.0,0.0,0.0,0.0,0.0,16860.6,9.1,-6.14,14.44,31.72
1987.0,2526.0,0.0,0.0,0.0,21951.0,0.0,0.0,0.0,0.0,18049.6,12.07,-4.71,17.75,37.62
1988.0,2091.0,0.0,0.0,0.0,24987.0,0.0,0.0,0.0,0.0,18739.8,9.38,-3.76,14.87,30.33
1989.0,1859.0,0.0,0.0,0.0,27847.0,0.0,0.0,0.0,0.0,18652.8,7.55,-13.5,18.33,35.6
1990.0,1735.0,0.0,0.0,0.0,30980.0,0.0,0.0,0.0,0.0,23263.8,9.16,-14.45,23.19,42.62
1991.0,2365.0,0.0,0.0,0.0,32786.0,0.0,0.0,0.0,54.85493,19795.4,10.07,-5.62,20.2,35.73
1992.0,1986.0,0.0,0.0,0.0,36052.0,0.0,0.0,0.0,30.45883,21581.8,9.72,-13.13,19.25,33.04
1993.0,1972.0,0.0,0.0,0.0,40039.0,0.0,0.0,0.0,21.58165,10904.0,10.79,9.25,16.75,27.94
1994.0,1876.0,0.0,0.0,0.0,45173.0,0.0,0.0,0.0,16.433729999999994,9848.4,9.53,-11.6,15.66,25.44
1995.0,1942.0,0.0,0.0,0.0,49249.0,0.0,0.0,0.0,13.935170000000001,7783.6,13.76,24.19,16.75,26.48
1996.0,2164.0,0.0,0.0,0.0,54419.0,0.0,0.0,0.0,11.15358,6136.4,12.19,2.5,20.46,31.4
1997.0,2587.0,0.0,0.0,0.0,59467.0,0.0,0.0,0.0,9.636339999999999,5684.0,10.01,1.83,18.64,27.98
1998.0,3166.0,0.0,0.0,0.0,64707.0,0.0,0.0,0.0,9.01298,4634.2,16.91,34.71,11.91,17.6
1999.0,2828.0,0.0,0.0,0.0,71428.0,0.0,0.0,0.0,8.258560000000001,4094.8,7.74,-11.22,16.56,23.89
2000.0,2429.0,0.0,0.0,0.0,77006.0,0.0,0.0,0.0,6.92755,3601.8,10.48,-7.73,27.39,38.29
2001.0,2514.0,0.0,0.0,0.0,81363.0,0.0,0.0,0.0,6.88698,3317.6,8.93,-13.52,23.0,31.3
2002.0,2268.0,0.0,0.0,0.0,85647.0,0.0,0.0,0.0,6.5938300000000005,3207.4,6.24,-17.86,22.81,30.52
2003.0,1757.0,0.0,0.0,0.0,91846.0,0.0,0.0,0.0,5.91922,2859.4,9.82,-11.22,27.69,36.26
2004.0,1615.0,0.0,0.0,0.0,105062.0,0.0,0.0,0.0,5.647819999999999,2685.4,11.34,-0.09,37.66,47.98
2005.0,1702.0,0.0,0.0,0.0,118785.0,0.0,0.0,0.0,5.29371,2592.6,13.55,21.66,50.04,61.65
2006.0,2058.0,0.0,0.0,0.0,128311.0,0.0,0.0,0.0,5.15897,2470.8,9.67,-0.58,58.3,69.64
2007.0,2003.0,0.0,44.0,0.0,132167.0,0.0,0.0,0.0,4.76767,2366.4,7.59,-22.82,64.2,74.44
2008.0,1751.0,0.0,156.0,0.0,128363.0,0.0,0.0,0.0,4.1560000000000015,2528.8,7.69,-11.91,91.48,102.0
2009.0,2461.0,0.0,174.0,0.0,120202.0,0.0,0.0,0.0,4.124,2639.0,9.22,-8.86,53.48,59.93
2010.0,2157.0,0.0,215.0,0.0,121713.0,0.0,,,,,13.06,8.38,71.21,78.65
2011.0,2191.0,0.0,258.0,0.0,124445.0,0.0,,,,,8.62,6.29,87.04,93.21
2012.0,2440.0,0.0,438.0,129.0,125440.0,0.0,,,,,8.88,-19.13,86.46,90.72
2013.0,2682.0,0.0,711.0,251.0,128321.0,0.0,,,,,7.46,-16.4,91.17,94.25
2014.0,2389.0,0.0,980.0,300.0,133784.0,0.0,,,,,9.92,-16.27,85.6,87.05
2015.0,,,,,,,,,,,11.34,-15.27,41.85,42.53
2016.0,,,,,,,,,,,11.52,-0.03,,
