Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price_x,Inflation Adjusted Price_x,Nominal Price_y,Inflation Adjusted Price_y
1960.0,20.0,0.0,0.0,0.0,,796647.0,0.0,0.0,36903.70200000001,31349.0,29.93,-13.11,2.91,23.72,2.91,23.72
1961.0,21.0,0.0,0.0,0.0,,756037.0,0.0,0.0,37260.729,32706.2,40.35,6.09,2.85,22.96,2.85,22.96
1962.0,17.0,0.0,0.0,0.0,,800588.0,0.0,0.0,37592.181,33843.0,33.57,-7.14,2.85,22.69,2.85,22.69
1963.0,8.0,0.0,0.0,0.0,33270.0,863111.0,0.0,0.0,37663.791,35026.2,26.79,-20.24,2.91,22.9,2.91,22.9
1964.0,10.0,17.0,0.0,0.0,35652.0,875310.0,0.0,0.0,38167.107,91982.2,37.55,-10.39,3.0,23.3,3.0,23.3
1965.0,11.0,22.0,0.0,0.0,39071.0,924108.0,0.0,0.0,36504.732,74866.4,36.82,-1.25,3.01,23.0,3.01,23.0
1966.0,10.0,1.0,0.0,0.0,42672.0,1016800.0,0.0,0.0,44125.059,63214.2,36.33,-0.51,3.1,23.01,3.1,23.01
1967.0,10.0,0.0,0.0,0.0,44420.0,1079510.0,0.0,0.0,42265.245,57559.2,35.75,-2.59,3.12,22.53,3.12,22.53
1968.0,8.0,0.0,0.0,0.0,48696.0,1133680.0,0.0,0.0,43654.479000000014,64983.2,38.79,-0.14,3.18,21.99,3.18,21.99
1969.0,8.0,0.0,0.0,0.0,52817.0,1202161.0,0.0,0.0,50938.239,63637.6,36.74,2.74,3.32,21.81,3.32,21.81
1970.0,7.0,0.0,0.0,0.0,53714.0,1298561.0,0.0,0.0,53311.599,57211.2,37.99,0.43,3.39,21.04,3.39,21.04
1971.0,9.0,0.0,0.0,0.0,57975.0,1206595.0,0.0,0.0,81740.769,48058.8,33.95,-6.87,3.6,21.42,3.6,21.42
1972.0,9.0,0.0,0.0,0.0,62940.0,1195710.0,0.0,0.0,92064.885,54276.4,42.98,13.28,3.6,20.74,3.6,20.74
1973.0,8.0,0.0,0.0,0.0,69836.0,1031681.0,0.0,0.0,95950.25,51016.8,41.67,5.75,4.75,25.56,4.75,25.56
1974.0,10.0,0.0,0.0,0.0,74206.0,996980.0,0.0,0.0,94448.43,52710.4,40.51,7.57,9.35,45.6,9.35,45.6
