Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price_x,Inflation Adjusted Price_x,Nominal Price_y,Inflation Adjusted Price_y
1960.0,705.0,0.0,0.0,0.0,,33923.0,0.0,0.0,902031.89651,1118895.4,36.27,8.32,2.91,23.72,2.91,23.72
1961.0,1002.0,0.0,0.0,0.0,,26086.0,0.0,0.0,976919.06244,1119869.8,37.78,13.83,2.85,22.96,2.85,22.96
1962.0,731.0,0.0,0.0,0.0,,26491.0,0.0,0.0,1160791.0154799998,1175845.6,32.13,0.74,2.85,22.69,2.85,22.69
1963.0,191.0,0.0,0.0,0.0,6151.0,25480.0,0.0,0.0,1350294.47115,1171379.6,21.61,-20.39,2.91,22.9,2.91,22.9
1964.0,306.0,0.0,0.0,0.0,6544.0,25985.0,0.0,0.0,1448246.06562,1174639.2,32.78,-5.97,3.0,23.3,3.0,23.3
1965.0,825.0,0.0,0.0,0.0,6966.0,24620.0,0.0,0.0,1445625.10783,1179957.8,29.84,-4.11,3.01,23.0,3.01,23.0
1966.0,512.0,0.0,0.0,0.0,7468.0,21309.0,0.0,0.0,1478707.17628,1304066.2,24.92,-13.31,3.1,23.01,3.1,23.01
1967.0,726.0,0.0,0.0,0.0,8087.0,20803.0,0.0,0.0,1546257.84909,1338344.2,32.73,-6.51,3.12,22.53,3.12,22.53
1968.0,1526.0,0.0,0.0,0.0,8836.0,27527.0,0.0,0.0,1522107.82969,1297013.4,39.1,11.91,3.18,21.99,3.18,21.99
1969.0,1886.0,0.0,0.0,0.0,9622.0,46461.0,0.0,0.0,1667470.8543,1303428.2,33.63,3.04,3.32,21.81,3.32,21.81
1970.0,1406.0,0.0,0.0,0.0,10369.0,61349.0,0.0,0.0,1745418.90496,1296729.2,29.16,-6.14,3.39,21.04,3.39,21.04
1971.0,1383.0,0.0,0.0,0.0,11278.0,56471.0,0.0,0.0,1838793.58986,1237215.4,34.31,2.8,3.6,21.42,3.6,21.42
1972.0,1447.0,0.0,0.0,0.0,12738.0,66329.0,0.0,0.0,1966628.35599,1204271.4,29.48,-2.72,3.6,20.74,3.6,20.74
1973.0,3761.0,0.0,0.0,0.0,14483.0,51615.0,0.0,0.0,1920043.69752,1108983.2,46.75,23.07,4.75,25.56,4.75,25.56
1974.0,3590.0,0.0,0.0,0.0,16204.0,56268.0,0.0,0.0,1799917.7536099998,1031153.0,39.58,10.95,9.35,45.6,9.35,45.6
1975.0,2945.0,0.0,0.0,0.0,18163.0,68620.0,0.0,0.0,1731205.47455,946113.4,35.6,8.37,12.21,54.61,12.21,54.61
1976.0,1541.0,0.0,0.0,0.0,20822.0,87876.0,0.0,0.0,1840067.81094,936270.8,26.71,-7.84,13.1,55.46,13.1,55.46
1977.0,1749.0,0.0,0.0,0.0,24022.0,143469.0,0.0,0.0,1910601.20042,907015.6,31.91,-7.25,14.4,57.2,14.4,57.2
1978.0,1763.0,0.0,0.0,0.0,27105.0,144227.0,0.0,0.0,1915968.46405,872644.8,28.33,-9.78,14.95,55.24,14.95,55.24
1979.0,2323.0,0.0,0.0,0.0,31546.0,118380.0,0.0,0.0,2006422.96087,833123.6,34.71,5.7,25.1,82.51,25.1,82.51
1980.0,1315.0,0.0,0.0,0.0,37608.0,127956.0,0.0,0.0,2079923.38385,870812.0,26.51,-11.87,37.42,109.51,37.42,109.51
1981.0,1122.0,0.0,0.0,0.0,45430.0,133636.0,0.0,0.0,2238931.87934,893524.8,35.24,-3.3,35.75,94.83,35.75,94.83
