,HYTCP,WYTCP,SOEGP,NUETP
1960,1826.0,230.0,0.0,0.0
1961,1489.0,305.0,0.0,0.0
1962,1519.0,320.0,0.0,0.0
1963,1280.0,355.0,0.0,0.0
1964,1281.0,25.0,0.0,0.0
1965,1329.0,313.0,0.0,0.0
1966,1443.0,525.0,0.0,0.0
1967,1914.0,603.0,0.0,0.0
1968,1182.0,468.0,0.0,0.0
1969,916.0,415.0,0.0,0.0
1970,1366.0,465.0,0.0,0.0
1971,779.0,445.0,0.0,0.0
1972,1533.0,288.0,0.0,0.0
1973,1372.0,361.0,0.0,0.0
1974,1393.0,6998.0,0.0,0.0
1975,1576.0,15869.0,0.0,0.0
1976,1416.0,16425.0,0.0,0.0
1977,1205.0,17821.0,0.0,0.0
1978,760.0,22329.0,0.0,0.0
1979,1222.0,18796.0,0.0,0.0
1980,734.0,12091.0,0.0,0.0
1981,660.0,14276.0,0.0,0.0
1982,1829.0,16472.0,0.0,0.0
1983,1170.0,14718.0,0.0,0.0
1984,1447.0,21564.0,0.0,0.0
1985,972.0,26232.0,0.0,0.0
1986,1453.0,39820.0,0.0,0.0
1987,1132.0,34982.0,0.0,0.0
1988,705.0,37862.0,0.0,0.0
1989,1440.0,39166.0,0.0,0.0
1990,2869.0,57787.0,0.0,0.0
1991,1920.0,57476.0,0.0,0.0
1992,2578.0,60133.0,0.0,0.0
1993,2376.0,59331.0,0.0,0.0
1994,2750.0,67207.0,0.0,0.0
1995,2030.0,66462.0,0.0,0.0
1996,3012.0,68672.0,0.0,0.0
1997,2249.0,67655.0,0.0,0.0
1998,2381.0,61149.0,0.0,0.0
1999,1947.0,71127.0,0.0,0.0
2000,2290.0,73771.0,0.0,10.0
2001,1650.0,73731.0,0.0,11.0
2002,2211.0,76089.0,0.0,58.0
2003,3346.0,74361.0,0.0,112.0
2004,3155.0,77459.0,0.0,306.0
2005,2232.0,76289.0,0.0,284.0
2006,2844.0,75298.0,0.0,361.0
2007,2236.0,77376.0,0.0,470.0
2008,2549.0,78658.0,0.0,729.0
2009,2683.0,77328.0,4.0,1075.0
2010,2332.0,77828.0,7.0,1854.0
2011,3217.0,76147.0,18.0,1794.0
2012,2242.0,75174.0,26.0,2129.0
2013,2525.0,78714.0,55.0,3352.0
2014,2641.0,78715.0,50.0,3565.0
