Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,9.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1961.0,8.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1962.0,5.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
1963.0,4.0,0.0,0.0,0.0,2686.0,0,0.0,0.0,0.0,0.0
1964.0,4.0,0.0,0.0,0.0,2881.0,0,0.0,0.0,0.0,0.0
1965.0,2.0,0.0,0.0,0.0,3157.0,0,0.0,0.0,0.0,0.0
1966.0,2.0,0.0,0.0,0.0,3470.0,0,0.0,0.0,0.0,0.0
1967.0,5.0,0.0,0.0,0.0,3631.0,0,0.0,0.0,0.0,0.0
1968.0,5.0,0.0,0.0,0.0,3912.0,0,0.0,0.0,0.0,0.0
1969.0,4.0,0.0,0.0,0.0,4113.0,0,0.0,0.0,0.0,0.0
1970.0,3.0,0.0,0.0,0.0,4311.0,0,0.0,0.0,0.0,0.0
1971.0,1.0,0.0,0.0,0.0,4599.0,0,0.0,0.0,0.0,0.0
1972.0,6.0,0.0,0.0,0.0,5114.0,0,0.0,0.0,0.0,0.0
1973.0,5.0,0.0,0.0,0.0,5418.0,0,0.0,0.0,0.0,0.0
1974.0,4.0,0.0,0.0,0.0,5599.0,0,0.0,0.0,0.0,0.0
1975.0,3.0,0.0,0.0,0.0,6002.0,0,0.0,0.0,0.0,0.0
1976.0,3.0,0.0,0.0,0.0,6528.0,0,0.0,0.0,0.0,0.0
1977.0,4.0,0.0,0.0,0.0,7245.0,0,0.0,0.0,0.0,0.0
1978.0,4.0,0.0,0.0,0.0,7975.0,0,0.0,0.0,0.0,0.0
1979.0,3.0,0.0,0.0,0.0,8845.0,0,0.0,0.0,0.0,0.0
1980.0,1.0,0.0,0.0,0.0,9626.0,0,0.0,0.0,0.0,0.0
1981.0,0.0,0.0,0.0,0.0,10729.0,0,0.0,0.0,0.0,0.0
1982.0,3.0,0.0,0.0,0.0,11420.0,0,0.0,0.0,0.0,0.0
1983.0,3.0,0.0,0.0,0.0,12323.0,0,0.0,0.0,0.0,0.0
1984.0,2.0,0.0,0.0,0.0,13801.0,0,0.0,0.0,0.0,0.0
1985.0,0.0,0.0,0.0,0.0,15222.0,0,0.0,0.0,0.0,0.0
1986.0,0.0,0.0,0.0,0.0,16622.0,0,0.0,0.0,0.0,0.0
1987.0,0.0,0.0,0.0,0.0,17891.0,0,0.0,0.0,0.0,0.0
1988.0,0.0,0.0,0.0,0.0,19738.0,0,0.0,0.0,0.0,0.0
1989.0,5.0,0.0,0.0,0.0,21059.0,0,0.0,0.0,0.0,0.0
1990.0,10.0,0.0,0.0,0.0,21664.0,0,0.0,0.0,0.0,0.0
1991.0,10.0,0.0,0.0,0.0,21738.0,0,0.0,0.0,0.0,0.0
1992.0,10.0,0.0,0.0,0.0,22665.0,0,0.0,0.0,0.0,0.0
1993.0,9.0,0.0,0.0,0.0,23566.0,0,0.0,0.0,0.0,0.0
1994.0,9.0,0.0,0.0,0.0,24354.0,0,0.0,0.0,0.0,0.0
1995.0,9.0,0.0,0.0,0.0,25550.0,0,0.0,0.0,0.0,0.0
1996.0,10.0,0.0,0.0,0.0,26454.0,0,0.0,0.0,0.0,0.0
1997.0,8.0,0.0,0.0,0.0,28717.0,0,0.0,0.0,0.0,0.0
1998.0,9.0,0.0,0.0,0.0,30783.0,0,0.0,0.0,0.0,0.0
1999.0,6.0,0.0,0.0,0.0,32383.0,0,0.0,0.0,0.0,0.0
2000.0,5.0,0.0,0.0,0.0,34613.0,0,0.0,0.0,0.0,0.0
2001.0,3.0,0.0,0.0,0.0,36281.0,0,0.0,0.0,0.0,0.0
2002.0,4.0,0.0,0.0,0.0,38349.0,0,0.0,0.0,0.0,0.0
2003.0,6.0,0.0,0.0,0.0,40788.0,0,0.0,0.0,0.0,0.0
2004.0,5.0,0.0,0.0,0.0,43713.0,0,0.0,0.0,0.0,0.0
2005.0,7.0,0.0,0.0,0.0,45663.0,0,0.0,0.0,0.0,0.0
2006.0,6.0,0.0,0.0,0.0,48011.0,0,0.0,0.0,0.0,0.0
2007.0,4.0,0.0,0.0,0.0,48044.0,0,0.0,0.0,0.0,0.0
2008.0,5.0,0.0,0.0,0.0,47343.0,0,0.0,0.0,0.0,0.0
2009.0,5.0,0.0,0.0,0.0,47709.0,0,0.0,0.0,0.0,0.0
