Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,PAPRB,NGMPB
1960.0,1156.0,0.0,0.0,0.0,,261,0.0,0.0,1629.8,0.0
1961.0,1142.0,0.0,0.0,0.0,,235,0.0,0.0,1351.4,0.0
1962.0,1502.0,0.0,0.0,0.0,,0,0.0,0.0,980.2,0.0
1963.0,2909.0,0.0,0.0,0.0,1610.0,0,0.0,0.0,1247.0,0.0
1964.0,3094.0,0.0,0.0,0.0,1597.0,0,0.0,0.0,1432.6,0.0
1965.0,3872.0,0.0,0.0,0.0,1763.0,0,0.0,0.0,1270.2,0.0
1966.0,4849.0,9.0,0.0,0.0,1919.0,0,0.0,0.0,1386.2,0.0
1967.0,4930.0,67.0,0.0,0.0,1960.0,0,0.0,0.0,1223.8,0.0
1968.0,5645.0,-3.0,0.0,0.0,2093.0,0,0.0,0.0,1084.6,0.0
1969.0,6350.0,0.0,0.0,0.0,2273.0,0,0.0,0.0,916.4,0.0
1970.0,6579.0,0.0,0.0,0.0,2437.0,0,0.0,0.0,928.0,0.0
1971.0,7778.0,0.0,0.0,0.0,2656.0,0,0.0,0.0,1351.4,0.0
1972.0,7432.0,0.0,0.0,0.0,3046.0,0,0.0,0.0,1270.2,0.0
1973.0,4837.0,0.0,0.0,0.0,3958.0,0,0.0,0.0,1595.0,0.0
1974.0,5661.0,0.0,0.0,0.0,3966.0,0,0.0,0.0,2865.2,0.0
1975.0,7927.0,0.0,0.0,0.0,4400.0,0,0.0,0.0,2737.6,0.0
1976.0,7052.0,0.0,0.0,0.0,4645.0,0,0.0,0.0,2592.6,0.0
1977.0,5294.0,0.0,0.0,0.0,5116.0,0,0.0,0.0,3665.6,0.0
1978.0,6831.0,0.0,0.0,0.0,5971.0,0,0.0,0.0,5040.2,0.0
1979.0,6359.0,0.0,0.0,0.0,6716.0,0,0.0,0.0,4906.8,909.9784
1980.0,5818.0,0.0,0.0,0.0,6760.0,0,0.0,0.0,4437.0,1190.614
1981.0,5306.0,0.0,0.0,0.0,7661.0,0,0.0,0.0,5643.4,1157.31
1982.0,5426.0,0.0,0.0,0.0,7709.0,0,0.0,0.0,6716.4,2328.669
1983.0,5526.0,0.0,0.0,0.0,8123.0,0,0.0,0.0,6797.6,1866.306
1984.0,5722.0,0.0,0.0,0.0,9194.0,0,0.0,0.0,7772.0,1968.417
1985.0,5333.0,0.0,0.0,0.0,9588.0,0,0.0,0.0,9256.8,2583.58
1986.0,5736.0,0.0,0.0,0.0,10067.0,0,0.0,0.0,9198.8,2242.155
1987.0,5386.0,0.0,0.0,0.0,10669.0,0,0.0,0.0,9529.4,3475.603
1988.0,5286.0,0.0,0.0,0.0,11173.0,0,1122.67779,179.0,9628.0,3998.4
1989.0,4583.0,0.0,0.0,0.0,11790.0,0,1118.65738,179.0,9349.6,4443.273
1990.0,3934.0,0.0,0.0,0.0,12770.0,0,1114.78411,179.0,9558.4,895.096
1991.0,3828.0,0.0,0.0,0.0,13736.0,0,1110.7665,179.0,9639.6,897.88822
1992.0,3612.0,0.0,0.0,0.0,14886.0,0,1106.72384,179.0,9030.6,1478.07447
1993.0,2591.0,0.0,0.0,0.0,16105.0,0,1201.44569,195.0,8700.0,1322.76932
1994.0,5129.0,0.0,0.0,0.0,17330.0,0,1888.16368,307.58264,8427.4,1451.24577
1995.0,6010.0,0.0,0.0,0.0,18054.0,0,1881.5322800000001,307.58264,7795.2,1269.71356
1996.0,7978.0,0.0,0.0,0.0,19419.0,0,1874.9007100000001,307.58264,7290.6,1347.62425
1997.0,9012.0,0.0,0.0,0.0,19765.0,0,1711.74963,281.81402,7743.0,1626.82813
1998.0,5758.0,0.0,0.0,0.0,20328.0,0,2116.57085,349.70307,6994.8,1635.88387
1999.0,6677.0,0.0,0.0,0.0,21194.0,0,2212.0427,366.01045,6380.0,1575.58815
2000.0,5716.0,0.0,0.0,0.0,22875.0,0,2356.55433,390.42819,6786.0,1659.87609
2001.0,3432.0,0.0,0.0,1.0,23951.0,0,3559.38264,590.47686,7279.0,1099.04585
2002.0,4354.0,0.0,0.0,6.0,26793.0,0,8657.21845,1438.04269,7041.2,1024.26371
2003.0,4276.0,0.0,0.0,44.0,28118.0,0,21533.073269999997,3592.62974,7174.6,1103.93183
2004.0,3598.0,0.0,0.0,158.0,30261.0,0,43785.75185,7337.713709999999,7870.6,1094.89241
2005.0,3075.0,0.0,0.0,158.0,31380.0,0,59339.84812,9986.948,8520.2,998.47675
2006.0,3397.0,0.0,0.0,149.0,32520.0,0,77743.68048,13142.85714,8085.2,965.72852
2007.0,2917.0,0.0,0.0,150.0,35165.0,0,83403.26028,14162.983430000002,9657.0,997.93886
2008.0,2993.0,0.0,0.0,145.0,37246.0,0,111372.09147999999,18994.65008,9842.6,1650.576
2009.0,4432.0,0.0,0.0,421.0,36687.0,0,129462.80543,22218.16017,9616.4,2133.258
