Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960.0,1267.0,0.0,0.0,0.0,,752354.0,0.0,0.0,2284.902,11.6,41.58,-0.12,2.91,23.72
1961.0,1183.0,0.0,0.0,0.0,,818668.0,0.0,0.0,2530.116,11.6,47.83,9.36,2.85,22.96
1962.0,1263.0,0.0,0.0,0.0,,794605.0,0.0,0.0,2563.974,17.4,44.93,5.65,2.85,22.69
1963.0,875.0,0.0,0.0,0.0,11682.0,823683.0,0.0,0.0,2139.21,17.4,33.01,-15.46,2.91,22.9
1964.0,859.0,0.0,0.0,0.0,12713.0,855444.0,0.0,0.0,1650.8339999999994,34.8,40.32,-4.72,3.0,23.3
1965.0,883.0,0.0,0.0,0.0,13666.0,921140.0,0.0,0.0,3233.952,23.2,32.7,-15.42,3.01,23.0
1966.0,764.0,0.0,0.0,0.0,14904.0,961709.0,0.0,0.0,4359.474,5.8,40.91,-2.57,3.1,23.01
1967.0,806.0,0.0,0.0,0.0,15925.0,992721.0,0.0,0.0,3917.268,17.4,39.01,-1.32,3.12,22.53
1968.0,785.0,0.0,0.0,0.0,17693.0,998969.0,0.0,0.0,3477.114,17.4,35.61,-9.59,3.18,21.99
1969.0,705.0,0.0,0.0,0.0,19638.0,964454.0,0.0,0.0,2919.9959999999996,5.8,41.86,2.35,3.32,21.81
1970.0,691.0,0.0,0.0,0.0,21048.0,960259.0,0.0,0.0,2877.93,5.8,36.99,-10.05,3.39,21.04
1971.0,1123.0,0.0,0.0,0.0,23157.0,838224.0,0.0,0.0,2687.094,5.8,47.44,6.49,3.6,21.42
1972.0,1408.0,448.0,0.0,0.0,26064.0,930648.0,0.0,0.0,2859.462,0.0,56.07,20.99,3.6,20.74
1973.0,1318.0,6857.0,0.0,0.0,29450.0,867073.0,0.0,0.0,5228.525,0.0,45.83,1.95,4.75,25.56
1974.0,1085.0,5953.0,0.0,0.0,32428.0,862073.0,0.0,0.0,7252.111999999999,17.4,42.31,1.67,9.35,45.6
1975.0,1311.0,8970.0,0.0,0.0,35067.0,886808.0,0.0,0.0,6850.736999999999,17.4,52.06,14.09,12.21,54.61
1976.0,888.0,7740.0,0.0,0.0,39574.0,1020379.0,0.0,0.0,7068.803000000001,17.4,41.33,-0.9,13.1,55.46
1977.0,714.0,9481.0,0.0,0.0,43219.0,947701.0,0.0,0.0,8409.06,11.6,39.75,-7.93,14.4,57.2
1978.0,1286.0,14098.0,0.0,0.0,48379.0,803194.0,0.0,0.0,8668.6336,11.6,45.18,3.54,14.95,55.24
1979.0,1543.0,7056.0,0.0,0.0,53398.0,961043.0,0.0,0.0,8726.8416,23.2,55.67,19.45,25.1,82.51
1980.0,892.0,11466.0,0.0,0.0,58669.0,1063349.0,0.0,0.0,7936.9919999999975,58.0,35.92,-11.11,37.42,109.51
1981.0,365.0,17818.0,0.0,0.0,66179.0,1104466.0,73.59085,11.44367,9116.671999999999,75.4,36.22,-7.67,35.75,94.83
1982.0,940.0,17420.0,0.0,0.0,71465.0,1048591.0,245.48182999999997,38.30816,7065.76,284.2,45.6,6.71,31.83,79.5
1983.0,1210.0,18674.0,0.0,0.0,79439.0,933639.0,461.18369,72.2333,4476.38,377.0,46.24,3.41,29.08,70.34
1984.0,1182.0,17045.0,0.0,0.0,89768.0,1079424.0,550.64099,86.54833,9221.436,185.6,45.38,3.01,28.75,66.67
1985.0,845.0,22303.0,0.0,0.0,97967.0,1100877.0,590.39543,93.12669,15627.598999999998,150.8,44.23,-0.01,26.92,60.27
1986.0,75.0,21215.0,0.0,0.0,107348.0,1106055.0,624.01091,98.78169,16044.08,104.4,35.15,-16.07,14.44,31.72
1987.0,834.0,18145.0,0.0,0.0,117603.0,1193986.0,682.13311,108.36894,19991.92,92.8,45.3,1.35,17.75,37.62
1988.0,-191.0,21037.0,0.0,0.0,128088.0,1243990.0,684.23682,109.09487,19179.384,145.0,34.96,-10.42,14.87,30.33
1989.0,424.0,14264.0,0.0,0.0,137661.0,1155117.0,644.8387700000002,103.18275,18670.335,133.4,52.51,15.84,18.33,35.6
1990.0,1309.0,23820.0,0.0,0.0,144971.0,1276213.0,540.11146,86.72527,15394.508,92.8,45.49,-0.09,23.19,42.62
1991.0,1080.0,23886.0,0.0,0.0,151093.0,1131252.0,631.45799,101.75944,15532.052,75.4,38.96,-11.67,20.2,35.73
1992.0,1090.0,23334.0,0.0,0.0,158990.0,1159687.0,561.92831,90.88552,25697.587000000003,69.6,44.03,4.67,19.25,33.04
1993.0,1313.0,22689.0,0.0,0.0,167688.0,1046529.0,598.3644400000002,97.11722,39504.961039999995,69.6,44.98,-0.73,16.75,27.94
1994.0,1146.0,25429.0,0.0,0.0,177057.0,987555.0,571.6298,93.11873,52169.32778,63.8,45.37,3.21,15.66,25.44
1995.0,995.0,25135.0,0.0,0.0,186236.0,913518.0,484.30883,79.17217,51362.59616,63.8,44.3,1.42,16.75,26.48
1996.0,1429.0,26286.0,0.0,0.0,197756.0,946719.0,173.16102,28.40754,56407.67677000001,75.4,55.89,20.13,20.46,31.4
