Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960.0,34349.0,0.0,0.0,0.0,,3713,0.0,0.0,0.0,5.8
1961.0,37360.0,0.0,0.0,0.0,,3111,0.0,0.0,0.0,0.0
1962.0,39553.0,0.0,0.0,0.0,,3827,0.0,0.0,0.0,0.0
1963.0,43117.0,0.0,0.0,0.0,11171.0,3094,0.0,0.0,0.0,0.0
1964.0,47036.0,0.0,0.0,0.0,11392.0,1107,0.0,0.0,0.0,0.0
1965.0,49295.0,0.0,0.0,0.0,12330.0,895,0.0,0.0,0.0,0.0
1966.0,52821.0,989.0,0.0,0.0,14270.0,960,0.0,0.0,0.0,0.0
1967.0,58899.0,2015.0,0.0,0.0,15659.0,960,0.0,0.0,0.0,0.0
1968.0,64336.0,3903.0,0.0,0.0,17014.0,2899,0.0,0.0,0.0,0.0
1969.0,67541.0,3667.0,0.0,0.0,18091.0,944,0.0,0.0,0.0,0.0
1970.0,69525.0,2614.0,0.0,0.0,18112.0,602,0.0,0.0,0.0,0.0
1971.0,71589.0,2553.0,0.0,0.0,18761.0,18470,0.0,0.0,0.0,0.0
1972.0,75883.0,2919.0,0.0,0.0,20483.0,42902,0.0,0.0,0.0,0.0
1973.0,69016.0,4432.0,0.0,0.0,23342.0,52974,0.0,0.0,0.0,0.0
1974.0,82491.0,3889.0,0.0,0.0,26240.0,63390,0.0,0.0,0.0,0.0
1975.0,83708.0,3308.0,0.0,0.0,29282.0,60636,0.0,0.0,0.0,0.0
1976.0,94457.0,2405.0,0.0,0.0,32735.0,66565,0.0,0.0,0.0,0.0
1977.0,66617.0,4315.0,0.0,0.0,36826.0,81923,0.0,0.0,0.0,0.0
1978.0,88906.0,4140.0,0.0,0.0,42668.0,76269,0.0,0.0,0.0,0.0
1979.0,79511.0,3613.0,0.0,0.0,48713.0,82166,0.0,0.0,0.0,0.0
1980.0,83111.0,2041.0,0.0,0.0,52682.0,83268,0.0,0.0,0.0,0.0
1981.0,93701.0,2042.0,0.0,0.0,58918.0,75087,87.95543,13.67742,0.0,0.0
1982.0,87705.0,3631.0,0.0,0.0,62933.0,67456,293.39871,45.78573,0.0,0.0
1983.0,85564.0,3494.0,0.0,0.0,67949.0,63034,551.20453,86.3329,0.0,0.0
1984.0,83431.0,5313.0,0.0,0.0,74170.0,62726,658.1234599999998,103.44214,0.0,0.0
1985.0,77053.0,8038.0,0.0,0.0,77341.0,71895,705.63778,111.30457,0.0,0.0
1986.0,78960.0,8439.0,0.0,0.0,84015.0,74536,745.81485,118.06341,0.0,0.0
1987.0,69827.0,5528.0,0.0,0.0,90325.0,72073,815.28221,129.52203,0.0,0.0
1988.0,68508.0,6000.0,0.0,0.0,99051.0,84209,817.79657,130.38967,0.0,0.0
1989.0,71528.0,6118.0,0.0,0.0,108064.0,81690,770.7082,123.32352,0.0,0.0
1990.0,87467.0,5742.0,0.0,0.0,118640.0,81056,645.53862,103.65362,0.0,0.0
1991.0,89342.0,4230.0,0.0,0.0,125895.0,82320,754.71555,121.6224,0.0,0.0
1992.0,68325.0,5692.0,0.0,0.0,134469.0,83183,671.61402,108.62593,0.0,0.0
1993.0,67312.0,7135.0,0.0,0.0,142500.0,74932,730.51855,118.56642,0.0,0.0
1994.0,65575.0,6740.0,0.0,0.0,150805.0,77210,697.87933,113.68483,0.0,0.0
1995.0,82500.0,6942.0,0.0,0.0,155069.0,78433,598.8100900000002,97.89021,0.0,0.0
1996.0,98518.0,5588.0,0.0,0.0,166540.0,72089,217.46874,35.67635,0.0,0.0
1997.0,104171.0,6244.0,0.0,0.0,179639.0,71253,336.25741,55.35976,0.0,0.0
1998.0,79815.0,6916.0,0.0,0.0,209988.0,72809,341.71558,56.45877,0.0,0.0
1999.0,96989.0,6086.0,0.0,0.0,230752.0,63996,268.28949,44.39189,0.0,0.0
2000.0,80263.0,8605.0,0.0,0.0,237381.0,66520,265.89493,44.05283,0.0,0.0
2001.0,54734.0,8250.0,0.0,0.0,239397.0,72134,232.1279,38.50841,0.0,0.0
2002.0,78167.0,9048.0,0.0,417.0,248879.0,91334,238.2538,39.57612,0.0,0.0
2003.0,71757.0,7615.0,0.0,604.0,258388.0,97712,191.41752,31.93656,0.0,0.0
2004.0,71576.0,8982.0,0.0,737.0,270385.0,89958,96.51025,16.1734,0.0,0.0
2005.0,72075.0,8242.0,0.0,498.0,296403.0,82684,61.58859,10.36541,0.0,0.0
2006.0,82008.0,9328.0,0.0,1038.0,316801.0,40267,0.0,0.0,0.0,0.0
2007.0,78829.0,8109.0,0.0,2438.0,345971.0,0,0.0,0.0,0.0,0.0
2008.0,77637.0,9270.0,0.0,3657.0,354210.0,0,0.0,0.0,0.0,0.0
2009.0,72933.0,6634.0,0.0,3572.0,348465.0,0,0.0,0.0,0.0,0.0
2010.0,68288.0,9241.0,0.0,4745.0,359694.0,0,,,,
2011.0,91818.0,4806.0,1.0,6262.0,370149.0,0,,,,
2012.0,89464.0,9334.0,1.0,6600.0,388922.0,0,,,,
2013.0,78155.0,8461.0,1.0,7004.0,404540.0,0,,,,
2014.0,79463.0,9497.0,1.0,7268.0,423795.0,0,,,,
