Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960.0,938.0,0.0,0.0,0.0,,2971457,0.0,0.0,229601.88913000003,13340.0
1961.0,1042.0,0.0,0.0,0.0,,2821060,0.0,0.0,231580.52361,16008.0
1962.0,1039.0,0.0,0.0,0.0,,2953043,0.0,0.0,231736.70265999998,20126.0
1963.0,801.0,0.0,0.0,0.0,4617.0,3305984,0.0,0.0,231214.27276,19430.0
1964.0,904.0,0.0,0.0,0.0,4892.0,3532592,0.0,0.0,224229.11011999997,19546.0
1965.0,828.0,0.0,0.0,0.0,5208.0,3730403,0.0,0.0,228126.98705,20474.0
1966.0,767.0,0.0,0.0,0.0,5570.0,3741366,0.0,0.0,232739.76805,21309.2
1967.0,1050.0,0.0,0.0,0.0,5825.0,3842089,0.0,0.0,232574.79019,20653.8
1968.0,957.0,0.0,0.0,0.0,6091.0,3645105,0.0,0.0,260633.12496999998,19209.6
1969.0,952.0,0.0,0.0,0.0,6381.0,3535711,0.0,0.0,254900.69421999998,18003.2
1970.0,996.0,0.0,0.0,0.0,7088.0,3652112,0.0,0.0,266661.41602,18119.2
1971.0,1146.0,0.0,0.0,0.0,7602.0,2991676,0.0,0.0,258689.55971,17220.2
1972.0,1246.0,0.0,0.0,0.0,8391.0,3128328,0.0,0.0,236442.30319,15526.6
1973.0,1176.0,0.0,0.0,0.0,9187.0,2972140,0.0,0.0,229989.0902,13833.0
1974.0,1148.0,0.0,0.0,0.0,10684.0,2605820,0.0,0.0,223676.3903,15457.0
1975.0,1063.0,0.0,0.0,0.0,11973.0,2769248,0.0,0.0,174573.60117,14378.2
1976.0,1026.0,0.0,0.0,0.0,13249.0,2768788,0.0,0.0,172660.61889,14610.2
1977.0,943.0,0.0,0.0,0.0,14439.0,2422787,0.0,0.0,172139.44174,14604.4
1978.0,925.0,0.0,0.0,0.0,15957.0,2148687,0.0,0.0,165842.73072999998,13815.6
1979.0,1232.0,0.0,0.0,0.0,17424.0,2891197,0.0,0.0,167744.5846,13954.8
1980.0,1114.0,0.0,0.0,0.0,18408.0,3112014,0.0,0.0,177452.01741,13548.8
1981.0,1090.0,0.0,0.0,0.0,19837.0,2934294,0.0,0.0,183824.72363,20143.4
1982.0,1118.0,0.0,0.0,0.0,20511.0,3344594,0.0,0.0,170143.92214,18716.6
1983.0,1109.0,0.0,0.0,0.0,20403.0,3003769,0.0,0.0,147369.40112999998,21042.4
1984.0,1138.0,0.0,0.0,0.0,22172.0,3413581,0.0,0.0,165752.69587999998,20439.2
1985.0,1058.0,0.0,0.0,0.0,22936.0,3339897,0.0,0.0,170759.0666,20619.0
1986.0,1051.0,0.0,0.0,0.0,22880.0,3391600,0.0,0.0,159846.21631,18241.0
1987.0,1005.0,0.0,0.0,0.0,23425.0,3561008,0.0,0.0,186558.55085,16443.0
1988.0,988.0,0.0,0.0,0.0,25876.0,3802174,0.0,0.0,205120.56862,15207.6
1989.0,1307.0,0.0,0.0,0.0,26663.0,3996483,0.0,0.0,207715.88835999998,13009.4
1990.0,1295.0,0.0,0.0,0.0,27754.0,4450035,0.0,0.0,206249.73492000002,12429.4
1991.0,1065.0,0.0,0.0,0.0,29092.0,4391170,0.0,0.0,229585.85824,11385.4
1992.0,1271.0,0.0,0.0,0.0,30410.0,4250360,0.0,0.0,209477.38528,11994.4
1993.0,1114.0,0.0,0.0,0.0,31881.0,3382971,0.0,0.0,199902.99596,11878.4
1994.0,1146.0,0.0,0.0,0.0,34592.0,4203422,0.0,0.0,212940.17276,11124.4
1995.0,1193.0,0.0,0.0,0.0,36149.0,4217195,0.0,0.0,209420.72991,11298.4
1996.0,1425.0,0.0,0.0,0.0,37224.0,4392066,0.0,0.0,191129.78662,9744.0
1997.0,1139.0,0.0,0.0,0.0,38570.0,4464060,0.0,0.0,194898.15673,8752.2
1998.0,1086.0,0.0,0.0,0.0,39881.0,4413049,0.0,0.0,202451.2812,8531.8
1999.0,930.0,0.0,0.0,0.0,41854.0,4021540,0.0,0.0,197171.24936,8531.8
2000.0,1151.0,0.0,0.0,0.0,42703.0,4015521,0.0,0.0,298104.97926999995,8120.0
2001.0,952.0,0.0,0.0,0.0,44057.0,4085482,0.0,0.0,222937.64828000002,7110.8
2002.0,1066.0,0.0,0.0,9.0,45410.0,3805093,0.0,0.0,218896.52721,8015.6
2003.0,1356.0,0.0,0.0,170.0,46671.0,3524503,0.0,0.0,212634.12507,7737.2
2004.0,1318.0,0.0,0.0,161.0,49519.0,3724793,0.0,0.0,222611.92355,7766.2
2005.0,1448.0,0.0,0.0,154.0,53453.0,3848481,0.0,0.0,249956.26565,9065.4
2006.0,1572.0,0.0,0.0,174.0,56871.0,3802034,0.0,0.0,265767.51144000003,10144.2
2007.0,1254.0,0.0,0.0,168.0,58873.0,3855269,0.0,0.0,262350.93077,9129.2
2008.0,1248.0,0.0,0.0,392.0,62581.0,3870325,0.0,0.0,277282.25849000004,9239.4
2009.0,1646.0,0.0,0.0,742.0,63866.0,3379357,0.0,0.0,300896.4956,10811.2
2010.0,1367.0,0.0,0.0,939.0,67255.0,0,,,,
2011.0,1453.0,0.0,0.0,1103.0,70945.0,0,,,,
2012.0,1431.0,0.0,0.0,1286.0,70969.0,0,,,,
2013.0,1739.0,0.0,0.0,1387.0,72120.0,0,,,,
2014.0,1242.0,0.0,0.0,1451.0,74148.0,0,,,,
