Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB
1960.0,609.0,0.0,0.0,0.0,,35172,0.0,0.0,198148.78372,776678.0
1961.0,633.0,0.0,0.0,0.0,,43948,0.0,0.0,212402.49062,823234.6
1962.0,975.0,0.0,0.0,0.0,,44643,0.0,0.0,223664.49021,787912.6
1963.0,879.0,0.0,0.0,0.0,1353.0,54288,0.0,0.0,228098.58886999998,837560.6
1964.0,874.0,0.0,0.0,0.0,1405.0,53888,0.0,0.0,254085.63655999998,804761.6
1965.0,884.0,0.0,0.0,0.0,1448.0,56651,0.0,0.0,257327.19835,802221.2
1966.0,923.0,0.0,0.0,0.0,1509.0,63776,0.0,0.0,265545.11938000005,779926.0
1967.0,789.0,0.0,0.0,0.0,1541.0,62351,0.0,0.0,261936.95888000002,790609.6
1968.0,959.0,0.0,0.0,0.0,1671.0,66539,0.0,0.0,271109.56405,836650.0
1969.0,1097.0,0.0,0.0,0.0,1801.0,79972,0.0,0.0,331157.55954,898681.0
1970.0,1006.0,0.0,0.0,0.0,1943.0,125502,0.0,0.0,369348.19815,930001.0
1971.0,1312.0,0.0,0.0,0.0,2100.0,139926,0.0,0.0,413351.4532,859061.2
1972.0,1172.0,0.0,0.0,0.0,2356.0,189905,0.0,0.0,414918.60728,812063.8
1973.0,1209.0,0.0,0.0,0.0,2844.0,275588,0.0,0.0,394438.40903000004,823101.2
1974.0,1411.0,0.0,0.0,0.0,3470.0,386138,0.0,0.0,352221.03579,811982.6
1975.0,1120.0,0.0,0.0,0.0,3983.0,434559,0.0,0.0,320169.48319,788469.4
1976.0,1043.0,0.0,0.0,0.0,4722.0,562876,0.0,0.0,339418.77392,778064.2
1977.0,762.0,0.0,0.0,0.0,5540.0,829722,0.0,0.0,338023.40443,791537.6
1978.0,982.0,0.0,0.0,0.0,6689.0,1040681,0.0,0.0,352491.33403,796833.0
1979.0,1053.0,0.0,0.0,0.0,8063.0,1273791,0.0,0.0,416117.88542,764962.0
1980.0,1108.0,0.0,0.0,0.0,10428.0,1689893,0.0,0.0,461425.84964,732899.6
1981.0,841.0,0.0,0.0,0.0,12703.0,1805421,0.0,0.0,464652.87379,757265.4
1982.0,850.0,0.0,0.0,0.0,12422.0,1883979,0.0,0.0,462149.53005,686140.0
1983.0,1150.0,0.0,0.0,1.0,11578.0,1951950,0.0,0.0,508257.07579,686157.4
1984.0,1286.0,0.0,0.0,3.0,12152.0,2262189,0.0,0.0,598189.7440300001,720760.2
1985.0,1068.0,0.0,0.0,3.0,12205.0,2430658,0.0,0.0,497605.3092,745381.2
1986.0,1140.0,0.0,0.0,1.0,10522.0,2363205,0.0,0.0,469950.53547,703754.6
1987.0,768.0,0.0,0.0,0.0,10370.0,2536335,0.0,0.0,571511.19812,668542.8
1988.0,789.0,0.0,0.0,0.0,10991.0,2850213,0.0,0.0,588311.67144,661107.2
1989.0,680.0,0.0,0.0,0.0,11437.0,2972702,0.0,0.0,753468.48787,624747.0
1990.0,645.0,0.0,0.0,0.0,12705.0,3194481,0.0,0.0,858078.30781,602364.8
1991.0,736.0,0.0,0.0,0.0,12977.0,3356523,0.0,0.0,878303.4011700001,579582.4
1992.0,636.0,0.0,0.0,0.0,13179.0,3301794,0.0,0.0,945021.2976200001,561498.0
1993.0,787.0,0.0,0.0,0.0,13791.0,3633351,0.0,0.0,720973.13548,508468.6
1994.0,897.0,0.0,0.0,0.0,14070.0,4093409,343.67927000000014,55.98549000000001,791261.7181,461262.4
1995.0,799.0,0.0,0.0,0.0,14608.0,4551802,345.0177,56.40161,776648.7050600001,457527.2
1996.0,1232.0,0.0,0.0,0.0,15752.0,4817050,147.4203,24.18471,782621.4576,425517.0
1997.0,1381.0,0.0,0.0,0.0,16084.0,4886099,270.39612,44.51668,864585.2289100001,407020.8
1998.0,1342.0,0.0,0.0,2.0,14946.0,5450487,329.74965,54.48174,1034061.22503,375735.6
1999.0,1170.0,0.0,0.0,11.0,15771.0,5837970,315.7571200000001,52.24601,1099852.87588,354530.8
2000.0,1011.0,0.0,0.0,246.0,17349.0,5892281,390.57591,64.70966999999999,1236233.28351,352210.8
2001.0,879.0,0.0,0.0,365.0,18831.0,6407633,440.30674000000016,73.04383,1543692.11129,333111.4
2002.0,584.0,0.0,0.0,447.0,19293.0,6486135,615.74464,102.28078,1632472.66212,317358.6
2003.0,594.0,0.0,0.0,366.0,21235.0,6551331,740.96321,123.62408,1719757.6290799999,303960.6
2004.0,593.0,0.0,0.0,617.0,23466.0,6908961,689.3589099999997,115.5243,1777565.48345,299390.2
2005.0,808.0,0.0,0.0,717.0,27454.0,7019843,659.87776,111.058,1816933.4961,299430.8
2006.0,843.0,0.0,0.0,759.0,32674.0,7739988,662.7914099999998,112.04734,1995664.3658,306843.2
2007.0,729.0,0.0,0.0,755.0,36331.0,7847633,705.4124099999997,119.78841,2240913.02016,313954.0
2008.0,835.0,0.0,0.0,963.0,42872.0,8087435,876.6298,149.51031,2469390.73482,307069.4
2009.0,967.0,0.0,0.0,2226.0,37129.0,7459875,900.97241,154.62317,2544093.54798,297731.4
2010.0,1024.0,0.0,0.0,3247.0,39103.0,0,,,,
2011.0,1224.0,0.0,0.0,4612.0,41499.0,0,,,,
2012.0,893.0,0.0,0.0,4369.0,40201.0,0,,,,
2013.0,711.0,0.0,0.0,4433.0,40979.0,0,,,,
2014.0,869.0,0.0,0.0,4406.0,42021.0,0,,,,
